rank#show#episode#number of viewers#date
1#dynamo : magician impossible#2.01#1927 , 000#5 july 2012
2#dynamo : magician impossible#2.02#1826 , 000#12 july 2012
3#dynamo : magician impossible#2.03#1793 , 000#19 july 2012
4#dynamo : magician impossible#1.04#1441 , 000#28 july 2011
5#dynamo : magician impossible#1.02#1391 , 000#14 july 2011
6#dynamo : magician impossible#1.03#1384 , 000#21 july 2011
6#dynamo : magician impossible#2.04#1384 , 000#26 july 2012
7#alcatraz#1.01 - pilot#1299 , 000#13 march 2012
8#alcatraz#1.06 - paxton petty#1229 , 000#17 april 2012
9#alcatraz#1.08 - the ames brothers#1193 , 000#1 may 2012
10#dynamo : magician impossible#3.01#1193 , 000#11 july 2013
