heat#lane#name#nationality#time
8#2#dominik meichtry#switzerland#1:45.80
6#4#jean basson#south africa#1:46.31
6#2#brent hayden#canada#1:46.40
8#4#michael phelps#united states#1:46.48
6#3#colin russell#canada#1:46.58
8#5#park tae - hwan#south korea#1:46.73
8#3#danila izotov#russia#1:46.80
8#7#yoshihiro okumura#japan#1:46.89
6#7#emiliano brembilla#italy#1:47.04
7#5#paul biedermann#germany#1:47.09
8#6#ross davenport#great britain#1:47.13
7#4#peter vanderkaay#united states#1:47.39
6#5#amaury leveaux#france#1:47.44
6#6#nicholas sprenger#australia#1:47.64
5#6#nimrod shapira bar - or#israel#1:47.78
8#1#dominik koll#austria#1:47.81
7#7#robbie renwick#great britain#1:47.82
6#1#rodrigo castro#brazil#1:47.87
6#8#oussama mellouli#tunisia#1:47.97
7#3#alexander sukhorukov#russia#1:47.97
5#5#darian townsend#south africa#1:48.08
7#6#kenrick monk#australia#1:48.17
5#1#sergiy advena#ukraine#1:48.18
5#4#sho uchida#japan#1:48.34
7#8#romāns miloslavskis#latvia#1:48.41
5#2#shaune fraser#cayman islands#1:48.60
4#4#gard kvale#norway#1:48.73
7#2#massimiliano rosolino#italy#1:48.76
5#3#andreas zisimos#greece#1:48.82
5#8#glenn surgeloose#belgium#1:48.92
4#7#jon raahauge rud#denmark#1:48.96
3#5#ryan pini#papua new guinea#1:49.04
7#1#zhang enjian#china#1:49.15
8#8#łukasz gąsior#poland#1:49.25
4#5#norbert kovács#hungary#1:49.34
4#6#martín kutscher#uruguay#1:49.61
3#1#dominik straga#croatia#1:49.63
4#3#christoffer wikström#sweden#1:49.84
5#7#tiago venâncio#portugal#1:50.24
3#7#radovan siljevski#serbia#1:50.25
2#6#bryan tay#singapore#1:50.41
3#3#crox acuña#venezuela#1:50.52
3#2#julio galofre#colombia#1:50.62
3#6#daniel bego#malaysia#1:50.92
2#5#vladimir sidorkin#estonia#1:51.27
4#2#květoslav svoboda#czech republic#1:51.67
3#8#saulius binevičius#lithuania#1:51.80
4#8#virdhawal khade#india#1:51.86
4#1#raphael stacchiotti#luxembourg#1:52.01
2#3#mario montoya#costa rica#1:52.19
2#4#mahrez mebarek#algeria#1:52.66
2#2#artur dilman#kazakhstan#1:52.90
1#4#irakli revishvili#georgia#1:53.60
2#1#ibrahim nazarov#uzbekistan#1:56.27
1#3#mihajlo ristovski#macedonia#1:57.45
2#7#andrei zaharov#moldova#1:58.62
1#5#emanuele nicolini#san marino#1:59.47
3#4#luka turk#slovenia#dns
