name#height#weight#spike#2008 club
wang yimei#m ()#kg (lb)#cm (in)#liaoning
feng kun#m ()#kg (lb)#cm (in)#beijing
yang hao#m ()#kg (lb)#cm (in)#liaoning
liu yanan#m ()#kg (lb)#cm (in)#liaoning
wei qiuyue#m ()#kg (lb)#cm (in)#tianjin
xu yunli#m ()#kg (lb)#cm (in)#fujian
zhou suhong#m ()#kg (lb)#cm (in)#zhejiang
zhao ruirui#m ()#kg (lb)#cm (in)#army
xue ming#m ()#kg (lb)#cm (in)#beijing
li juan#m ()#kg (lb)#cm (in)#tianjin
zhang na#m ()#kg (lb)#cm (in)#tianjin
ma yunwen#m ()#kg (lb)#cm (in)#shanghai
