season#level#division#section#administration#position
1993#tier 3#kakkonen (second division)#west group#finnish fa (suomen pallolitto)#6th
1994#tier 3#kakkonen (second division)#west group#finnish fa (suomen pallolitto)#3rd
1995#tier 3#kakkonen (second division)#south group#finnish fa (suomen pallolitto)#1st
1996#tier 2#ykkönen (first division)#south group#finnish fa (suomen pallolitto)#1st
1997#tier 2#ykkönen (first division)#south group#finnish fa (suomen pallolitto)#8th
1998#tier 2#ykkönen (first division)#south group#finnish fa (suomen pallolitto)#4th
1999#tier 2#ykkönen (first division)#south group#finnish fa (suomen pallolitto)#1st
2000#tier 2#ykkönen (first division)#south group#finnish fa (suomen pallolitto)#1st
2001#tier 2#ykkönen (first division)#south group#finnish fa (suomen pallolitto)#5th
2002#tier 4#kolmonen (third division)#section 1#helsinki & uusimaa (spl uusimaa)#2nd
2003#tier 4#kolmonen (third division)#section 1#helsinki & uusimaa (spl uusimaa)#2nd
2004#tier 4#kolmonen (third division)#section 1#helsinki & uusimaa (spl uusimaa)#5th
2005#tier 4#kolmonen (third division)#section 1#helsinki & uusimaa (spl uusimaa)#2nd
2006#tier 4#kolmonen (third division)#section 1#helsinki & uusimaa (spl uusimaa)#3rd
2007#tier 4#kolmonen (third division)#section 1#helsinki & uusimaa (spl uusimaa)#2nd
2008#tier 4#kolmonen (third division)#section 1#helsinki & uusimaa (spl uusimaa)#4th
2009#tier 4#kolmonen (third division)#section 1#helsinki & uusimaa (spl uusimaa)#3rd
2010#tier 4#kolmonen (third division)#section 1#helsinki & uusimaa (spl uusimaa)#4th
2011#tier 4#kolmonen (third division)#section 1#helsinki & uusimaa (spl uusimaa)#2nd
