debut year#player#games#goals#years at club
1960#russell crow#158#114#1960–1964 , 1968–1973
1960#bruce mcmaster - smith#13#1#1960–1961
1960#stewart duncan#30#7#1960–1964
1960#john powell#48#12#1960–1963
1960#john embrey#1#0#1960
1960#brian wicks#8#0#1960–1962
1961#john hayes#94#21#1961–1966
1961#john carmody#14#22#1961–1962
1961#david sykes#34#37#1961–1963 , 1967–1968
1961#ian powell#15#0#1961–1963
1961#colin bond#54#0#1961–1966
1961#bryan clements#23#6#1961–1964
1961#bill stevens#2#0#1961
1961#wayne eastman#73#9#1961–1968
1962#john bahen#67#35#1962–1967
1962#geoff elliott#9#3#1962–1963
1962#graeme clyne#6#0#1962
1962#max miers#40#11#1962–1965
1962#bill o'kane#2#0#1962
1962#norm brown#181#77#1962–1973
1962#ian mccrae#97#50#1962–1970
1962#jim renouf#1#0#1962
1962#bob beattie#58#1#1962–1967
1962#colin sleep#17#5#1962–1964
1962#brian beers#19#14#1962–1964
1962#bob eastaway#2#0#1962
1963#gary lazarus#132#206#1963–1970
1963#brett pollock#10#7#1963
1963#brian williams#2#0#1963
1963#allan anderson#4#0#1963
1963#doug hellings#64#15#1963 , 1965–1969
1963#stan haag#4#1#1963
1963#barry rippon#3#5#1963
1963#joe dixon#5#0#1963
1963#kevin ellis#4#1#1963
1963#ron fry#46#7#1963–1967
1963#brian carroll#10#0#1963
1963#ted lovett#9#2#1963–1964
1963#geoff doubleday#1#0#1963
1963#tony hirst#19#3#1963–1965
1963#barry fitzgerald#35#4#1963–1965
1963#barry sadler#2#0#1963
1963#terry o'mara#20#1#1963–1965
1963#bill storer#9#7#1963–1964
1963#graham goninon#4#0#1963–1965
1964#david mckenzie#2#1#1964
1964#ralph rogerson#39#54#1964–1966
1964#colin mcrae#18#8#1964–1965
1964#john newnham#116#89#1964–1971
1964#eric vinar#8#3#1964
1964#kevin mitchell#7#0#1964–1965
1964#ross king#2#1#1964
1964#alan quaife#3#0#1964
1964#graham ramshaw#6#4#1964
1965#graham calverley#10#5#1965
1965#bob lynch#9#1#1965
1965#daryl peoples#77#50#1965–1970
1965#john booth#46#16#1965–1967
1965#lance behan#4#2#1965
1965#brian hepper#8#1#1965–1966
1965#jim kemp#16#23#1965–1967
1965#frank johnson#3#0#1965
1965#peter wood#74#12#1965–1970
1965#ray calverley#21#2#1965–1967
1965#brendon hackwill#17#5#1965–1966
1965#denis hughson#1#1#1965
1965#terry brady#1#1#1965
1965#bob hayton#2#2#1965
1965#peter williams#7#2#1965–1966
1965#john o'keeffe#1#0#1965
1965#max cole#52#0#1965–1969
1965#bob carroll#9#1#1965–1966
1966#mike andrews#80#13#1966–1972
1966#peter corkran#1#0#1966
1966#colin hobbs#64#6#1966–1971
1966#paul o'brien#47#2#1966–1969
1966#trevor dawson#9#6#1966 , 1968
1966#harry corbett#10#2#1966–1967
1966#russell cromarty#18#25#1966–1967
1966#bernie drury#6#0#1966
1966#kingsley ellis#7#0#1966
1966#trevor mcgregor#47#19#1966–1971
1966#kevin oakley#10#1#1966
1966#kevin parker#2#0#1966
1966#cec rheinberger#27#3#1966–1971
1966#alex ruscuklic#108#189#1966–1974
1966#george carey#5#4#1966
1966#rod cobain#27#18#1966–1969
1966#paul hodgson#3#0#1966
1966#dennis aspinall#9#10#1966–1967
1966#vern drake#2#0#1966
1966#john benison#52#2#1966–1970
1967#ross enbom#7#0#1967–1968
1967#john murphy#214#326#1967–1977
1967#gary ebbels#8#7#1967–1968
1967#david wall#132#120#1967–1976
1967#noel zunneberg#71#3#1967–1972
1967#barry knight#4#2#1967 , 1969
1967#gavin smith#1#0#1967
1967#mike hallahan#3#0#1967
1967#dick telford#2#0#1967
1967#andrew kuka#1#0#1967
1968#darryl herrod#47#1#1968–1971
1968#barry mckenzie#38#15#1968–1972
1968#barry padley#159#94#1968–1978
1968#bill walford#11#16#1968
1968#ross parker#3#2#1968
1968#hugh worrall#13#4#1968–1969
1968#john atkinson#3#1#1968
1968#jack austin#3#1#1968
1968#david rhodes#72#14#1968–1973
1968#doug searl#131#170#1968–1976
1968#graeme shearer#19#5#1968–1970
1968#norm dare#72#24#1968–1974 , 1977
1968#harold martin#1#0#1968
1969#shane molloy#61#4#1969 , 1971–1974
1969#bruce baker#16#4#1969–1970
1969#leigh robertson#76#14#1969–1974
1969#bill sykes#48#5#1969–1971
1969#harvey merrigan#197#18#1969–1981
1969#peter ellis#7#0#1969–1971
1969#bob hodgkin#24#0#1969–1971
1969#peter weightman#1#1#1969
1969#paul shanahan#21#27#1969–1972
1969#robert ireland#5#0#1969–1970
