abbreviation#voivodeship#capital#area km square (1998)#population (1980)#no of cities#no of communes
bp#biała podlaska voivodeship#biała podlaska#5348#286 400#6#35
bk#białystok voivodeship (1975 - 1998)#białystok#10 055#641 100#17#49
bb#bielsko - biała voivodeship#bielsko - biała#3 704#829 900#18#47
by#bydgoszcz voivodeship#bydgoszcz#10 349#1 036 000#27#55
ch#chełm voivodeship#chełm#3 865#230 900#4#25
ci#ciechanów voivodeship#ciechanów#6 362#405 400#9#45
cz#częstochowa voivodeship#częstochowa#6 182#747 900#17#49
el#elbląg voivodeship#elbląg#6 103#441 500#15#37
gd#gdańsk voivodeship#gdańsk#7 394#1 333 800#19#43
go#gorzów voivodeship#gorzów wielkopolski#8 484#455 400#21#38
jg#jelenia góra voivodeship#jelenia góra#4 378#492 600#24#28
kl#kalisz voivodeship#kalisz#6 512#668 000#20#53
ka#katowice voivodeship#katowice#6 650#3 733 900#43#46
ki#kielce voivodeship#kielce#9 211#1 068 700#17#69
kn#konin voivodeship#konin#5 139#441 200#18#43
ko#koszalin voivodeship#koszalin#8 470#462 200#17#35
kr#kraków voivodeship#kraków#3 254#1 167 500#10#38
ks#krosno voivodeship#krosno#5 702#448 200#12#37
lg#legnica voivodeship#legnica#4 037#458 900#11#31
le#leszno voivodeship#leszno#4 254#357 600#19#28
lu#lublin voivodeship#lublin#6 793#935 200#16#62
lo#łomża voivodeship#łomża#6 684#325 800#12#39
ld#łódź voivodeship#łódź#1523#1 127 800#8#11
ns#nowy sącz voivodeship#nowy sącz#5 576#628 800#14#41
ol#olsztyn voivodeship#olsztyn#12 327#681 400#21#48
op#opole voivodeship#opole#8 535#975 000#29#61
os#ostrołęka voivodeship#ostrołęka#6 498#371 400#9#38
pi#piła voivodeship#piła#8 205#437 100#24#35
pt#piotrków voivodeship#piotrków trybunalski#6 266#604 200#10#51
pl#płock voivodeship#płock#5 117#496 100#9#44
po#poznań voivodeship#poznań#8 151#1 237 800#33#57
pr#przemyśl voivodeship#przemyśl#4 437#380 000#9#35
rs#radom voivodeship#radom#7 295#702 300#15#61
rz#rzeszów voivodeship#rzeszów#4 397#648 900#13#41
se#siedlce voivodeship#siedlce#8 499#616 300#12#66
si#sieradz voivodeship#sieradz#4 869#392 300#9#40
sk#skierniewice voivodeship#skierniewice#3 959#396 900#8#36
sl#słupsk voivodeship#słupsk#7 453#369 800#11#31
su#suwałki voivodeship#suwałki#10 490#422 600#14#42
sz#szczecin voivodeship#szczecin#9 981#897 900#29#50
tg#tarnobrzeg voivodeship#tarnobrzeg#6 283#556 300#14#46
ta#tarnów voivodeship#tarnów#4 151#607 000#9#41
to#toruń voivodeship#toruń#5 348#610 800#13#41
wb#wałbrzych voivodeship#wałbrzych#4 168#716 100#31#30
wa#warsaw voivodeship#warsaw#3 788#2 319 100#27#32
wl#włocławek voivodeship#włocławek#4 402#413 400#14#30
wr#wrocław voivodeship#wrocław#6 287#1 076 200#16#33
za#zamość voivodeship#zamość#6 980#472 100#5#47
