stage#winner#general classification#points classification#mountains classification#combination classification#team classification
1#liquigas#filippo pozzato#not awarded#not awarded#not awarded#liquigas
2#alejandro valverde#alejandro valverde#alejandro valverde#jesús rosendo#egoi martínez#caisse d'epargne
3#tom boonen#daniele bennati#alejandro valverde#jesús rosendo#egoi martínez#caisse d'epargne
4#daniele bennati#daniele bennati#daniele bennati#jesús rosendo#paolo bettini#quick step
5#levi leipheimer#levi leipheimer#daniele bennati#jesús rosendo#egoi martínez#astana
6#paolo bettini#sylvain chavanel#daniele bennati#jesús rosendo#paolo bettini#astana
7#alessandro ballan#alessandro ballan#daniele bennati#alessandro ballan#alessandro ballan#astana
8#david moncoutié#levi leipheimer#alejandro valverde#alessandro ballan#alberto contador#astana
9#greg van avermaet#egoi martínez#alejandro valverde#david moncoutié#alberto contador#caisse d'epargne
10#sébastien hinault#egoi martínez#greg van avermaet#david moncoutié#alberto contador#caisse d'epargne
11#óscar freire#egoi martínez#greg van avermaet#david moncoutié#alberto contador#caisse d'epargne
12#paolo bettini#egoi martínez#greg van avermaet#david moncoutié#alberto contador#astana
13#alberto contador#alberto contador#greg van avermaet#david moncoutié#alberto contador#caisse d'epargne
14#alberto contador#alberto contador#alberto contador#david moncoutié#alberto contador#caisse d'epargne
15#david garcía#alberto contador#alberto contador#david moncoutié#alberto contador#caisse d'epargne
16#tom boonen#alberto contador#alberto contador#david moncoutié#alberto contador#caisse d'epargne
17#wouter weylandt#alberto contador#greg van avermaet#david moncoutié#alberto contador#caisse d'epargne
18#imanol erviti#alberto contador#greg van avermaet#david moncoutié#alberto contador#caisse d'epargne
19#david arroyo#alberto contador#greg van avermaet#david moncoutié#alberto contador#caisse d'epargne
20#levi leipheimer#alberto contador#greg van avermaet#david moncoutié#alberto contador#caisse d'epargne
21#matti breschel#alberto contador#greg van avermaet#david moncoutié#alberto contador#caisse d'epargne
