dates (mdy)#position#gross sales#tickets sold / available#sellout (%)
05 - 21 - 08#3#2547560#16870 / 16870#100%
05 - 28 - 08#4#2569083#16962 / 16962#100%
06 - 04 - 08#3#2584217#17022 / 17022#100%
06 - 11 - 08#12#2589078#17056 / 17056#100%
08 - 16 - 08#2#1895526#12477 / 12808#97%
08 - 23 - 08#2#2591497#17078 / 17078#100%
08 - 30 - 08#5#2573670#17061 / 17061#100%
09 - 13 - 08#9#2538438#16634 / 16945#98%
09 - 13 - 08#11#1739643#11600 / 12375#94%
09 - 20 - 08#10#1290796#8517 / 8517#100%
09 - 27 - 08#2#2596618#17081 / 17081#100%
10 - 18 - 08#3#1294960#8530 / 8530#100%
03 - 14 - 09#2#3331455#22134 / 23819#93%
03 - 28 - 09#3#1844510#12606 / 14909#85%
03 - 28 - 09#2#1912403#13124 / 15069#87%
04 - 04 - 09#6#1911450#13095 / 15166#86%
05 - 09 - 09#2#3294601#22442 / 24595#91%
05 - 30 - 09#9#1781525#12716 / 15771#81%
06 - 06 - 09#1#3845125#26493 / 29983#88%
10 - 10 - 09#28#3199085#21939 / 25176#87%
10 - 17 - 09#6#1956710#13747 / 15991#86%
10 - 24 - 09#5#2326062#15992 / 16967#95%
12 - 12 - 09#2#3221147#23432 / 26914#87%
01 - 09 - 10#1#3335106#26867 / 31033#87%
01 - 09 - 10#10#1271451#11826 / 14564#81%
05 - 08 - 10#1#4910221#35343 / 40168#88%
05 - 15 - 10#17#735618#5727 / 7049#81%
06 - 12 - 10#1#3411693#27243 / 33324#82%
06 - 12 - 10#11#1538211#12042 / 16216#74%
07 - 10 - 10#6#1727400#14296 / 16660#86%
07 - 10 - 10#7#1553125#13255 / 16565#80%
09 - 04 - 10#3#1363671#12121 / 15968#76%
10 - 09 - 10#5#2180153#18084 / 23113#78%
11 - 20 - 10#5#3630738#29043 / 33560#87%
11 - 20 - 10#9#3102204#23690 / 25254#94%
11 - 20 - 10#4#3846894#30342 , / 33723#90%
2 - 26 - 11#3#4577104#31131 / 33038#94%
2 - 26 - 11#2#4802550#32147 / 33656#96%
