#average population (x 1000)#live births#deaths#natural change#crude birth rate (per 1000)#crude death rate (per 1000)#natural change (per 1000)
1949#45#2 073#766#1 307#47.1#17.4#29.7
1950#48#2 316#826#1 490#50.3#18.0#32.4
1951#51#2 805#708#2 097#58.4#14.8#43.7
1952#54#2 809#865#1 944#54.0#16.6#37.4
1953#57#2 903#808#2 095#51.8#14.4#37.4
1954#60#3 332#776#2 556#54.6#12.7#41.9
1955#63#3 600#878#2 722#55.4#13.5#41.9
1956#66#4 076#904#3 172#59.1#13.1#46.0
1957#70#3 320#1 138#2 182#44.3#15.2#29.1
1958#73#4 399#911#3 488#55.0#11.4#43.6
1959#76#4 201#935#3 266#49.4#11.0#38.4
1960#80#4 105#917#3 188#45.6#10.2#35.4
1961#83#4 312#606#3 706#49.0#6.9#42.1
1962#87#3 980#628#3 352#43.3#6.8#36.4
1963#91#3 521#655#2 866#36.7#6.8#29.9
1964#95#4 178#621#3 557#41.8#6.2#35.6
1965#100#4 193#662#3 531#39.9#6.3#33.6
1966#104#4 089#657#3 432#37.5#6.0#31.5
1967#109#4 381#756#3 625#38.4#6.6#31.8
1968#114#4 912#715#4 197#41.3#6.0#35.3
1969#119#4 614#691#3 923#36.9#5.5#31.4
1970#125#4 823#716#4 107#37.1#5.5#31.6
1971#131#5 181#801#4 380#38.1#5.9#32.2
1972#137#5 008#742#4 266#35.3#5.2#30.0
1973#144#5 034#708#4 326#34.7#4.9#29.8
1974#150#5 013#640#4 373#33.4#4.3#29.2
1975#157#5 141#728#4 413#33.0#4.7#28.3
1976#163#5 300#667#4 633#32.5#4.1#28.4
1977#170#5 397#748#4 649#31.8#4.4#27.4
1978#176#5 590#731#4 859#31.7#4.1#27.5
1979#183#5 877#728#5 149#32.1#4.0#28.1
1980#189#5 767#742#5 025#30.5#3.9#26.5
1981#195#5 877#705#5 172#30.1#3.6#26.5
1982#201#5 952#783#5 169#29.6#3.9#25.7
1983#207#5 983#717#5 266#28.9#3.5#25.4
1984#213#6 330#768#5 562#29.7#3.6#26.1
1985#219#6 682#794#5 888#30.5#3.6#26.9
1986#225#6 920#723#6 197#30.7#3.2#27.5
1987#232#7 088#765#6 323#30.6#3.3#27.3
1988#238#6 881#777#6 104#28.9#3.3#25.6
1989#245#6 926#827#6 099#28.3#3.4#24.9
1990#252#7 011#770#6 241#27.8#3.1#24.8
1991#259#7 106#852#6 254#27.4#3.3#24.1
1992#267#7 290#887#6 403#27.3#3.3#24.0
1993#274#7 314#1 018#6 296#26.7#3.7#22.9
1994#282#7 400#1 000#6 400#26.2#3.5#22.7
1995#290#7 500#1 000#6 500#25.9#3.5#22.4
1996#297#7 633#1 002#6 631#25.7#3.4#22.3
1997#305#7 459#883#6 576#24.5#2.9#21.6
1998#312#7 411#928#6 483#23.7#3.0#20.8
1999#320#7 408#905#6 503#23.2#2.8#20.3
2000#327#7 481#965#6 516#22.9#3.0#19.9
2001#334#7 363#1 014#6 349#22.0#3.0#19.0
2002#342#7 464#1 041#6 423#21.9#3.0#18.8
2003#349#7 047#1 010#6 037#20.2#2.9#17.3
2004#356#7 165#1 010#6 155#20.1#2.8#17.3
2005#363#6 933#1 072#5 861#19.1#3.0#16.1
2006#370#6 526#1 095#5 431#17.6#3.0#14.7
2007#378#6 314#1 174#5 140#16.7#3.1#13.6
