no in series#no in season#title#directed by#written by#original air date
27#1#chicken jack#robert alvarez and genndy tartakovsky#chris reccardi and aaron springer#august 22 , 2003
28#2#jack and the rave#randy myers and genndy tartakovsky#chris mitchell and erik wiese#august 29 , 2003
29#3#the good , the bad and the beautiful#robert alvarez and genndy tartakovsky#paul rudish and charlie bean#september 5 , 2003
30#4#jack and the zombies#genndy tartakovsky#bryan andrews and brian larsen#september 12 , 2003
31#5#jack in egypt#chris savino and genndy tartakovsky#bryan andrews and brian larsen#september 19 , 2003
32#6#jack and the traveling creatures#randy myers and genndy tartakovsky#genndy tartakovsky and erik wiese#september 26 , 2003
33#7#jack and the creature#robert alvarez and genndy tartakovsky#chris reccardi and aaron springer#october 3 , 2003
34#8#jack and the swamp monster#randy myers and genndy tartakovsky#paul rudish and charlie bean#october 10 , 2003
35#9#jack and the haunted house#randy myers and genndy tartakovsky#chris reccardi and aaron springer#october 17 , 2003
36#10#jack , the monks and the ancient master 's son#randy myers and genndy tartakovsky#bryan andrews and brian larsen#october 24 , 2003
37 / 38#11 / 12#the birth of evil#robert alvarez , randy myers and genndy tartakovsky#don shank and genndy tartakovsky#october 31 , 2003
