district name#dist. id#isd#county#authorizing agency#date opened#services
academic and career education academy#56903#midland county esa#midland#midland county esa#05 sep 2006#9 - 12 , alt , speced
academic transitional academy#74908#st. clair county resa#st. clair#st. clair isd#15 sep 2003#9 - 10 , speced
academy for business and technology#82921#wayne county resa#wayne#eastern michigan university#11 feb 1997#kg - part , 1 - 12 , speced
academy for technology and enterprise#73903#saginaw isd#saginaw#saginaw isd#28 aug 1995#10 - 12 , speced
academy of detroit - west#82909#wayne county resa#wayne#central michigan university#25 sep 1995#kg - part , 1 - 7 , speced
academy of flint#25908#eaton isd#genesee#central michigan university#01 sep 1999#kg - part , 1 - 8 , speced
academy of inkster#82961#wayne county resa#wayne#central michigan university#01 sep 1999#9 - 12 , speced
academy of lathrup village#63904#oakland isd#oakland#central michigan university#25 sep 1995#kg - part , 1 - 8 , speced
academy of oak park#63902#oakland isd#oakland#central michigan university#25 sep 1995#kg - part , 1 - 12 , speced
academy of southfield#63903#oakland isd#oakland#central michigan university#25 sep 1995#kg - part , 1 - 8 , speced
academy of warren#50911#macomb isd#macomb#bay mills community college#24 aug 2005#kg - part , 1 - 8 , speced
academy of waterford#63916#oakland isd#oakland#bay mills community college#18 aug 2003#kg , 1 - 8 , speced
academy of westland#82912#wayne county resa#wayne#central michigan university#26 aug 1996#kg - part , 1 - 10 , speced
ace academy (sda)#82998#wayne county resa#wayne#central michigan university#01 oct 2007#6 - 12 , gened , alt , speced , delinq , negl , rcci , juvdtn , loc
advanced technology academy#63914#wayne county resa#wayne#lake superior state university#01 sep 2000#kg , 1 - 12 , gened , pk , speced
agbu alex - marie manoogian school#63901#oakland isd#oakland#central michigan university#28 aug 1995#kg - part , 1 - 12 , speced
aisha shule / web dubois prep. academy school#82903#wayne county resa#wayne#detroit#06 sep 1995#kg - part , 1 - 12 , speced
allen academy#82955#wayne county resa#wayne#ferris state university#01 sep 1999#kg , 1 - 12 , speced
american montessori academy#82981#wayne county resa#wayne#bay mills community college#13 sep 2004#kg , 1 - 6 , gened , schlchoice , speced
ann arbor learning community#81904#washtenaw isd#washtenaw#eastern michigan university#18 sep 1998#kg , kg - part , 1 - 8 , gened , speced
arbor academy#13901#calhoun isd#calhoun#grand valley state university#01 aug 1998#kg - part , 1 - 6 , speced
