game#date#team#score#high points#high rebounds#high assists#location attendance#record
31#january 2#charlotte#l 97 - 107 (ot)#dwyane wade (29)#udonis haslem (10)#dwyane wade (11)#american airlines arena 17856#16 - 15
32#january 4#atlanta#w 92 - 75 (ot)#dwyane wade (28)#quentin richardson (10)#mario chalmers (6)#american airlines arena 16500#17 - 15
34#january 8#phoenix#w 109 - 105 (ot)#dwyane wade (33)#michael beasley (10)#dwyane wade (8)#us airways center 18422#18 - 16
35#january 10#la clippers#l 84 - 94 (ot)#dwyane wade (24)#jamal magloire (8)#quentin richardson (3)#staples center 19060#18 - 17
36#january 11#utah#l 89 - 118 (ot)#michael beasley (20)#udonis haslem (12)#dwyane wade (6)#energysolutions arena 19284#18 - 18
37#january 13#golden state#w 115 - 102 (ot)#dwyane wade (35)#udonis haslem (9)#dwyane wade (9)#oracle arena 17121#19 - 18
38#january 15#houston#w 115 - 106 (ot)#dwyane wade (37)#jermaine o'neal (13)#dwyane wade (8)#toyota center 16720#20 - 18
39#january 16#oklahoma city#l 80 - 98 (ot)#michael beasley (28)#jermaine o'neal (9)#dwyane wade (6)#ford center 18203#20 - 19
40#january 19#indiana#w 113 - 83 (ot)#dwyane wade (32)#michael beasley (10)#dorell wright (5)#american airlines arena 14986#21 - 19
41#january 20#charlotte#l 65 - 104 (ot)#dwyane wade (16)#dorell wright (7)#rafer alston (4)#time warner cable arena 14212#21 - 20
42#january 22#washington#w 112 - 88 (ot)#dwyane wade (32)#michael beasley (8)#dwyane wade (10)#verizon center 20173#22 - 20
43#january 23#sacramento#w 115 - 84 (ot)#dwyane wade (27)#michael beasley (13)#dwyane wade (8)#american airlines arena 18521#23 - 20
44#january 25#cleveland#l 91 - 92 (ot)#dwyane wade (32)#dwyane wade (10)#dwyane wade (5)#american airlines arena 19600#23 - 21
45#january 27#toronto#l 103 - 111 (ot)#dwyane wade (35)#udonis haslem (11)#dwyane wade (10)#air canada centre 18265#23 - 22
46#january 29#detroit#w 92 - 65 (ot)#dwyane wade (22)#jermaine o'neal (11)#rafer alston (7)#the palace of auburn hills 20669#24 - 22
