rank#athlete#country#distance (metres)#points#adjusted points
1#johan meimer#estonia#56.88#886.70#691
2#ken doherty#united states#56.56#877.90#686
3#paavo yrjölä#finland#55.70#854.25#673
4#akilles järvinen#finland#55.58#850.95#672
5#gaston étienne#belgium#54.85#830.875#661
6#hugo barth#germany#52.73#772.575#629
7#tom churchill#united states#50.93#723.075#602
8#henry lindblad#sweden#49.61#686.775#583
9#barney berlinger#united states#48.27#649.925#563
10#james stewart#united states#48.07#644.425#560
11#ludwig vesely#austria#47.44#627.10#551
12#wilhelm ladewig#germany#46.10#590.25#531
13#tatsuo toki#japan#45.83#582.825#527
14#albert andersson#sweden#45.81#582.275#527
15#martti tolamo#finland#45.79#581.725#527
16#sven lundgren#sweden#45.71#579.525#525
17#erwin huber#germany#45.42#571.550#521
18#stelios benardis#greece#44.48#545.70#507
19#branko kallay#yugoslavia#43.98#531.95#500
20#antoni cejzik#poland#43.96#531.40#500
21#mátyás farkas#hungary#43.13#508.575#488
22#helge jansson#sweden#41.73#470.075#467
23#hermann lemperle#germany#41.05#451.375#457
24#yonetaro nakazawa#japan#40.33#431.575#447
25#gérard noël#belgium#32.64#220.10#337
26#rené joannes - powell#belgium#32.56#217.90#335
