name#position#height#weight#age#home town#team / school
jay arnette#guard#6 - 2#175#21#austin , tx#texas
walt bellamy#center#6 - 11#217#21#baltimore , md#indiana
bob boozer#forward#6 - 8#220#23#omaha , ne#peoria caterpillars ( kansas state )
terry dischinger#forward#6 - 6#190#19#terre haute , in#purdue
burdette haldorson#forward#6 - 7#207#26#austin , mn#phillips 66ers ( colorado )
darrall imhoff#center#6 - 11#220#21#berkeley , ca#california
allen kelley#guard#5 - 11#164#27#mccune , ks#peoria caterpillars ( kansas )
lester lane#guard#5 - 11#165#28#purcell , ok#wichita vickers ( oklahoma )
jerry lucas#forward#6 - 8#220#20#middletown , oh#ohio state
oscar robertson#forward#6 - 5#220#21#indianapolis , in#cincinnati
adrian smith#guard#6 - 0#175#23#farmington , ky#us armed forces ( kentucky )
