player#position#tries#goals#points
robbie paul#fullback#23#0#92
glen tomlinson#stand off#5#0#20
graeme bradley#centre#14#0#56
carlos hassan#centre#6#0#24
jon scales#wing#18#0#72
davide longo#wing#3#0#12
paul cook#scrum half#6#52#129
jon hamer#prop#0#0#0
jason donahue#hooker#1#0#4
nathan graham#fullback#0#0#0
jeremy donougher#second row#9#0#36
paul medley#second row#9#0#36
sonny nickle#second row#6#0#24
gary christie#wing#1#0#4
simon knox#loose forward#6#0#24
matt calland#centre#14#0#56
karl fairbank#prop#5#0#20
brian mcdermott#prop#5#0#20
bernard dwyer#hooker#9#0#36
paul loughlin#centre#12#3#54
james lowes#hooker#11#0#44
steve mcnamara#loose forward#1#82#170
joe tamani#wing#4#0#16
stuart spruce#fullback#12#0#48
