rank#club#gold#big silver#small silver#bronze#points
1#malmö ff#20#14#9#8#168
2#ifk göteborg#13#11#16#9#139
3#ifk norrköping#12#9#4#7#102
4#aik#5#12#10#8#89
5#helsingborgs if#7#7#9#10#84
6#if elfsborg#6#6#6#6#66
7#djurgårdens if#7#3#9#3#65
8#gais#4#4#4#4#44
9#östers if#4#3#3#3#38
10#örgryte is#2#2#6#6#34
11#halmstads bk#4#2#2#2#32
12#kalmar ff#1#2#2#3#18
13#åtvidabergs ff#2#2#0#1#17
14#hammarby if#1#2#2#2#17
15#örebro sk#0#2#2#4#14
16#degerfors if#0#2#2#2#12
17#ik sleipner#1#1#1#1#11
18#landskrona bois#0#1#0#3#6
19#sandvikens if#0#0#1#3#5
20#bk häcken#0#1#0#0#3
20#ifk malmö#0#1#0#0#3
20#jönköpings södra if#0#1#0#0#3
20#råå if#0#1#0#0#3
24#trelleborgs ff#0#0#1#1#3
25#ik brage#0#0#0#3#3
