res#record#opponent#method#event#round#time#location
loss#11 - 2 - 1 (1)#tj grant#ko (punches)#ufc 160#1#2:07#las vegas , nevada , united states
win#11 - 1 - 1 (1)#clay guida#decision (split)#ufc on fx : maynard vs guida#5#5:00#atlantic city , new jersey , united states
loss#10 - 1 - 1 (1)#frankie edgar#ko (punches)#ufc 136#4#3:54#houston , texas , united states
draw#10 - 0 - 1 (1)#frankie edgar#draw (split)#ufc 125#5#5:00#las vegas , nevada , united states
win#10 - 0 (1)#kenny florian#decision (unanimous)#ufc 118#3#5:00#boston , massachusetts , united states
win#9 - 0 (1)#nate diaz#decision (split)#ufc fight night : maynard vs diaz#3#5:00#fairfax , virginia , united states
win#8 - 0 (1)#roger huerta#decision (split)#ufc fight night : diaz vs guillard#3#5:00#oklahoma city , oklahoma , united states
win#7 - 0 (1)#jim miller#decision (unanimous)#ufc 96#3#5:00#columbus , ohio , united states
win#6 - 0 (1)#rich clementi#decision (unanimous)#ufc 90#3#5:00#rosemont , illinois , united states
win#5 - 0 (1)#frankie edgar#decision (unanimous)#ufc fight night : florian vs lauzon#3#5:00#broomfield , colorado , united states
win#4 - 0 (1)#dennis siver#decision (unanimous)#ufc fight night : swick vs burkman#3#5:00#las vegas , nevada , united states
win#3 - 0 (1)#joe veres#ko (punch)#ufc fight night : thomas vs florian#1#0:09#las vegas , nevada , united states
nc#2 - 0 (1)#rob emerson#no contest (both fighters knocked out)#the ultimate fighter 5 finale#2#0:39#las vegas , nevada , united states
win#2 - 0#brent weedman#decision (unanimous)#wef : orleans arena#3#5:00#las vegas , nevada , united states
win#1 - 0#joshua powell#tko (punches)#title fighting championships 1#1#2:56#des moines , iowa , united states
