driver#constructor#laps#time / retired#grid
michael schumacher#ferrari#70#1:31:13.591#3
ralf schumacher#williams - bmw#70#+ 0.784#1
juan pablo montoya#williams - bmw#70#+ 1.355#2
fernando alonso#renault#70#+ 4.481#4
rubens barrichello#ferrari#70#+ 1:04.261#5
kimi räikkönen#mclaren - mercedes#70#+ 1:10.502#20
mark webber#jaguar - cosworth#69#+ 1 lap#6
olivier panis#toyota#69#+ 1 lap#7
jos verstappen#minardi - cosworth#68#+ 2 laps#15
antônio pizzonia#jaguar - cosworth#64#brakes#13
cristiano da matta#toyota#64#suspension#9
justin wilson#minardi - cosworth#60#gearbox#18
jenson button#bar - honda#51#gearbox#17
david coulthard#mclaren - mercedes#47#gearbox#11
nick heidfeld#sauber - petronas#47#engine#12
jarno trulli#renault#22#collision damage#8
giancarlo fisichella#jordan - ford#20#gearbox#16
ralph firman#jordan - ford#20#engine#19
jacques villeneuve#bar - honda#14#brakes#14
heinz - harald frentzen#sauber - petronas#6#electronics#10
