res#record#opponent#method#event#round#time#location
win#19 - 6#genkaam lookjuapoakum#submission (armbar)#deep : 33rd impact#1#1:54#tokyo , japan
loss#18 - 6#miku matsumoto#decision (majority)#deep : 31st impact#3#5:00#tokyo , japan
win#18 - 5#masako yoshida#submission (armbar)#deep : 29th impact#2#1:19#tokyo , japan
loss#17 - 5#seo hee ham#decision (unanimous)#deep : 28th impact#2#5:00#tokyo , japan
win#17 - 4#satoko shinashi#ko (punch)#deep : 25th impact#1#3:54#tokyo , japan
win#16 - 4#eri takahashi#ko (punch)#smackgirl : advent of goddess#2#0:31#tokyo , japan
win#15 - 4#yasuko mogi#tko (punches)#smackgirl : lightweight anniversary#1#4:03#tokyo , japan
win#14 - 4#maiko takahashi#decision (unanimous)#smackgirl : dynamic!!#2#5:00#tokyo , japan
loss#13 - 4#yuka tsuji#submission (armbar)#smackgirl : road to dynamic!!#1#3:51#tokyo , japan
win#13 - 3#naoko ohmuro#decision (unanimous)#pancrase : spiral 2#5#3:00#kanagawa prefecture , japan
win#12 - 3#hisako watanabe#ko (punch)#pancrase : brave 12#2#1:07#tokyo , japan
win#11 - 3#mari kaneko#decision (unanimous)#golden muscle : strongest queen tournament#3#5:00#tokyo , japan
win#10 - 3#hisako hoshino#submission (armbar)#golden muscle : strongest queen tournament#1#2:07#tokyo , japan
win#9 - 3#maki sakai#ko (head kick and punch)#golden muscle : strongest queen tournament#1#1:07#tokyo , japan
win#8 - 3#caroline hoeberchts#ko (punch)#smackgirl : third season 6#2#2:28#tokyo , japan
win#7 - 3#betta yeung#ko (flying knee and punches)#smackgirl : third season 4#1#2:33#tokyo , japan
win#6 - 3#keiko matsukawa#ko (punch)#smackgirl : third season 3#1#3:05#tokyo , japan
win#5 - 3#maiko ohkada#decision (unanimous)#smackgirl : third season 2#3#5:00#tokyo , japan
loss#4 - 3#satoko shinashi#submission (heel hook)#smackgirl : japan cup 2002 grand final#2#0:34#tokyo , japan
win#4 - 2#sumie yamada#ko (punch)#smackgirl : japan cup 2002 episode 2#1#1:31#tokyo , japan
win#3 - 2#masae kita#tko (punches)#smackgirl : japan cup 2002 opening round#2#0:32#tokyo , japan
loss#2 - 2#mari kaneko#submission (armbar)#smackgirl : summer gate 2002#2#3:54#tokyo , japan
win#2 - 1#eika muto#tko (punches)#smackgirl : smack legend 2002#1#1:47#tokyo , japan
win#1 - 1#naoko ohmuro#decision (unanimous)#smackgirl : golden gate 2002#3#5:00#tokyo , japan
loss#0 - 1#maiko ohkada#dq (illegal kick)#smackgirl : royal smack 2002#1#2:12#tokyo , japan
