position#club#played#points#wins#draws#losses#goals for#goals against#goal difference
1#cd castellón#38#45 + 7#15#15#8#45#33#+ 12
2#cádiz cf#38#45 + 7#19#7#12#55#37#+ 18
3#racing de santander#38#45 + 7#18#9#11#48#40#+ 8
4#elche cf#38#45 + 7#17#11#10#55#44#+ 11
5#rayo vallecano#38#45 + 7#15#15#8#37#23#+ 14
6#cd málaga#38#42 + 4#14#14#10#47#45#+ 2
7#ce sabadell fc#38#42 + 4#16#10#12#45#44#+ 1
8#deportivo alavés#38#39 + 1#15#9#14#49#35#+ 14
9#levante ud#38#38#15#8#15#36#37#- 1
10#real oviedo#38#37 - 1#11#15#12#37#39#- 2
11#castilla cf#38#36 - 2#14#8#16#50#44#+ 6
12#linares#38#36 - 2#13#10#15#36#42#- 6
13#getafe deportivo#38#35 - 3#10#15#13#41#50#- 9
14#atlético madrileño#38#35 - 3#13#9#16#44#55#- 11
15#burgos#38#35 - 3#13#9#16#47#52#- 5
16#recreativo de huelva#38#35 - 3#12#11#15#33#37#- 4
17#granada cf#38#33 - 5#10#13#15#33#45#- 12
18#palencia cf#38#32 - 6#12#8#18#30#37#- 7
19#barakaldo cf#38#31 - 7#11#9#18#34#46#- 12
20#agd ceuta#38#29 - 9#11#7#20#33#50#- 17
