season#team#country#division#apps#goals
2003#traktor tashkent#uzbekistan#1#15#11
2004#traktor tashkent#uzbekistan#1#25#8
2005#traktor tashkent#uzbekistan#1#13#4
2005#fc pakhtakor tashkent#uzbekistan#1#12#6
2006#traktor tashkent#uzbekistan#1#30#21
2007#traktor tashkent#uzbekistan#1#1#0
2007#fc saturn moscow oblast#russia#1#2#0
2008#navbahor namangan#uzbekistan#1#0#0
2009#lokomotiv tashkent#uzbekistan#1#0#0
2009 - 2010#sriwijaya fc#indonesia#super league#60#1000
20102011#persisam putra samarinda#indonesia#super league#12#2
