rank#company#headquarters#industry#revenue (billion $ )#profits (billion $)#s asset (billion $)#market value (billion $)
01 (41)#statoil#stavanger , norway#oil and gas#111.6#13.1#127.8#81.4
02 (135)#nordea#stockholm , sweden#banking#21.7#3.4#933.8#39.7
03 (152)#a.p. møller - maersk#copenhagen , denmark#transportation#56.1#2.6#69.8#33.7
04 (183)#volvo#gothenburg , sweden#automotive#45.0#2.6#49.7#30.2
05 (239)#ericsson#stockholm , sweden#telecommunication#32.9#1.8#39.0#39.8
06 (260)#dnb#oslo , norway#diversified financial#11.6#2.2#356.1#21.1
07 (280)#seb#stockholm , sweden#banking#13.5#1.6#344.5#19.2
08 (282)#handelsbanken#stockholm , sweden#banking#10.9#1.8#358.0#23.2
09 (294)#teliasonera#stockholm , sweden#s telecommunication#15.1#2.7#35.9#30.0
10 (311)#swedbank#stockholm , sweden#banking#10.3#1.7#270.8#19.1
11 (353)#telenor#fornebu , norway#telecommunication#16.4#1.3#27.8#33.9
12 (432)#fortum#espoo , finland#utilities#8.0#2.3#29.7#16.8
13 (466)#novo nordisk#copenhagen , denmark#health care#11.6#3.0#10.9#90.3
14 (489)#h&m#stockholm , sweden#retailing#16.3#2.3#8.7#61.6
15 (498)#danske bank#copenhagen , denmark#banking#20.0#0.3#597.8#15.8
16 (503)#sampo group#helsinki , finland#insurance#7.2#1.3#38.3#16.3
17 (504)#norsk hydro#oslo , norway#industrial#16.3#1.1#22.2#11.7
18 (528)#atlas copco#stockholm , sweden#capital good#13.6#0.8#14.4#19.0
19 (563)#carlsberg group#copenhagen , denmark#brewery#11.1#0.9#25.6#12.8
20 (573)#nokia#espoo , finland#technology#50.1#- 1.5#44.6#19.6
21 (574)#yara international#oslo , norway#chemical industry#13.0#2.0#12.1#13.3
22 (578)#sandvik#sandviken , sweden#capital goods#13.6#0.8#14.4#19.0
23 (707)#skanska#stockholm , sweden#construction#17.2#1.1#11.8#7.5
24 (765)#upm - kymmene#helsinki , finland#s material#13.0#0.6#19.3#7.2
25 (845)#skf#gothenburg , sweden#manufacturing#9.6#0.9#8.5#11.5
26 (902)#stora enso#helsinki , finland#manufacturing#14.2#0.4#16.7#6.0
27 (904)#svenska cellulosa aktiebolaget#stockholm , sweden#consumer goods#11.8#0.1#20.2#12.5
28 (937)#kone#espoo , finland#engineering#6.8#0.8#5.9#14.9
29 (1098)#electrolux#stockholm , sweden#manufacturing#14.7#0.3#10.7#6.8
30 (1101)#assa abloy#stockholm , sweden#manufacturing#6.1#0.6#8.1#11.2
32 (1131)#investor#stockholm , sweden#s diversified financial#2.8#- 1.3#31.2#17.0
32 (1170)#tele2#stockholm , sweden#s telecommunication#5.9#0.7#6.4#8.6
33 (1175)#metso#helsinki , finland#s capital good#8.6#0.5#8.4#7.3
34 (1226)#autoliv#stockholm , sweden#s durable good#8.2#0.6#6.1#6.2
35 (1254)#orkla group#oslo , norway#media#10.2#- 0.1#11.1#8.2
36 (1297)#kinnevik#stockholm , sweden#investment#1.3#1.0#10.2#6.3
37 (1363)#storebrand#oslo , norway#insurance#5.6#0.1#67.2#2.4
38 (1373)#tdc a / s#copenhagen , denmark#s telecommunication#4.6#0.5#11.4#6.0
39 (1376)#op - pohjola group#helsinki , finland#financial services#4.9#0.3#53.3#3.7
40 (1388)#aker solutions#oslo , norway#engineering#6.1#0.9#5.6#4.5
41 (1416)#gjensidige#oslo , norway#insurance#3.6#0.5#14.7#5.9
42 (1481)#l e lundbergföretagen#stockholm , sweden#investment#3.3#0.7#12.5#4.2
43 (1488)#alfa laval#lund , sweden#manufacturing#4.2#0.5#4.8#8.7
44 (1495)#neste oil#espoo , finland#oil refining#20.0#0.2#9.4#3.1
45 (1506)#wärtsilä#helsinki , finland#manufacturing#5.5#0.4#5.8#7.2
46 (1619)#boliden ab#stockholm , sweden#mining#5.8#0.5#5.5#4.6
47 (1686)#jyske bank#silkeborg , denmark#banking#1.6#0.1#47.2#2.4
48 (1750)#swedish match#stockholm , sweden#tobacco#1.7#0.4#2.1#8.1
49 (1816)#hexagon ab#stockholm , sweden#technology#2.8#0.4#6.8#7.0
50 (1868)#nokian tyres#nokia , finland , finland#manufacturing#1.9#0.4#2.4#6.4
51 (1883)#kesko#helsinki , finland#retail#12.3#0.2#5.4#3.2
52 (1889)#novozymes#copenhagen , denmark#health care#1.8#0.3#2.4#7.9
53 (1929)#sydbank#aabenraa , denmark#banking#1.0#0.0#26.8#1.4
54 (1935)#getinge group#getinge , sweden#medical technology#3.2#0.4#6.0#6.6
55 (1937)#coloplast#copenhagen , denmark#medical equipment#1.8#0.3#1.6#7.3
56 (1948)#vestas#aarhus , denmark#manufacturing#7.6#- 0.2#9.6#2.3
