player#height#position#year born#current club
dror hagag#1.78#guard#1978#hapoel jerusalem
moran rot#1.78#guard#1982#hapoel holon
yotam halperin#1.96#guard#1984#maccabi tel aviv
lior eliyahu#2.05#forward#1985#maccabi tel aviv
erez markovich#2.08#center#1978#hapoel jerusalem
jeron roberts#1.94#guard#1976#demon astronauts amsterdam
guy pnini#2.01#forward#1983#hapoel jerusalem
meir tapiro#1.94#guard#1975#bnei hasharon
matan naor#1.94#forward#1980#ironi nahariya
ido kozikaro#2.02#forward#1978#ironi nahariya
yaniv green#2.06#forward#1980#csk vvs samara
amit tamir#2.08#center#1979#cherkassy monkeys
