name#term#games#record (w - l - t / otl)#points#win percentage
jack riley#june 6 , 1967 - may 1 , 1970#226#73 - 117 - 36#182#403
red kelly#may 1 , 1970 - january 29 , 1972#126#33 - 64 - 29#95#377
jack riley#january 29 , 1972 - january 13 , 1974#149#57 - 73 - 19#133#446
jack button#january 13 , 1974 - july 1 , 1975#117#54 - 44 - 19#127#543
wren blair#july 1 , 1975 - december 3 , 1976#105#44 - 44 - 17#105#500
baz bastien#december 3 , 1976 - march 15 , 1983#527#193 - 248 - 86#472#447
-#march 16 , 1983 - april 3 , 1983#8#2 - 5 - 1#5#313
eddie johnston#may 27 , 1983 - april 14 , 1988#400#140 - 220 - 40#320#400
tony esposito#april 14 , 1988 - december 5 , 1989#106#50 - 47 - 9#109#514
craig patrick#december 5 , 1989 - may 20 , 2006#1250#575 - 511 - 127 - 37#1314#526
ray shero#may 20 , 2006 - present#164#94 - 51 - 19#207#573
