state#name#hometown#age 1#talent
alabama#catherine crosby#brewton , al#23#flute
alaska#blair chenoweth#anchorage , ak#21#ballet en pointe
arizona#corrie hill#gilbert , az#24#dance
arkansas#whitney kirk#cabot , ar#22#vocal / dance
california#nicole lamarche#berkeley , ca#24#vocal
colorado#katee doland#arvada , co#23#lyrical dance
connecticut#marla prete#north haven , ct#22#tap dance
delaware#erin elizabeth williams#lincoln , de#20#vocal
district of columbia#lisa ferris#portland , ga#21#vocal
florida#ericka dunlap#orlando , fl#21#vocal
georgia#andrea bailey#evans , ga#24#vocal
hawaii#kanoelani gibson#kapolei , hi#22#vocal
idaho#tiffany jewell#boise , id#22#vocal
illinois#andrea fritz#schaumburg , il#21#lyrical dance
indiana#bryn chapman#indianapolis , in#21#vocal
iowa#nicole white#eldridge , ia#22#vocal
kansas#angelea busby#lenexa , ks#21#interpretative baton twirling / dance
kentucky#mackenzie mayes#lexington , ky#23#vocal
louisiana#melissa clark#ruston , la#23#vocal
maine#elizabeth edgecomb#limestone , me#20#classical piano
maryland#marina harrison#severn , md#22#vocal
massachusetts#melissa silva#fall river , ma#23#vocal
michigan#madonna emond#livonia , mi#22#jazz dance
minnesota#megan torgerson#warren , mn#23#vocal
mississippi#allison kellogg#madison , ms#22#ballet en pointe
missouri#amber etheridge#springfield , mo#23#vocal
montana#amber shipman#glendive , mt#19#dance
nebraska#jane noseworthy#bellevue , ne#24#vocal
nevada#christina o'neil#carson city , nv#24#vocal
new hampshire#candace glickman#manchester , nh#21#vocal
new jersey#jennifer farrell#margate , nj#19#ballet en pointe
new mexico#rana jones#tatum , nm#22#vocal
new york#jessica lynch#new york , ny#24#jazz dance en pointe
north carolina#dana reason#raleigh#24#tap dance
north dakota#sara schelkoph#grand forks , nd#23#lyrical ballet
ohio#janelle couts#akron , oh#22#vocal
oklahoma#kelley scott#owasso#23#vocal
oregon#april robinson#gresham , or#22#tap dance
pennsylvania#candace otto#murrysville , pa#23#classical vocal
rhode island#laurie gray#warwick , ri#22#classical violin
south carolina#jessica eddins#columbia , sc#24#classical vocal
south dakota#sara seever#custer , sd#21#vocal / dance
tennessee#jamie watkins#soddy daisy , tn#23#vocal
texas#sunni cranfill#hooks , tx#23#ballet en pointe
utah#stacy johnson#provo , ut#21#latin jazz dance
vermont#drell hunter#sharon , vt#24#lyrical dance
virginia#nancy redd#martinsville , va#22#piano
washington#fianna dickson#spokane , wa#24#classical jazz dance
west virginia#allison williams#morgantown , wv#22#vocal
wisconsin#tina sauerhammer , m.d#green bay , wi#22#classical cello
wyoming#tamara kocher#gillette , wy#22#dance
