number#name of administrative unit#telephone (052)#area (km 2 )#population (people)
1#hoàn lão township#3862242#5.42#7247
2#nông trường việt trung township#3796007#86.00#9506
3#bắc trạch rural commune (rc)#3866086#17.24#6413
4#cự nẫm rc#3675552#32.79#7562
5#đại trạch rc#3862161#24.80#9043
6#đồng trạch rc#3864451#6.44#5615
7#đức trạch rc#3864192#2.49#6529
8#hạ trạch rc#3866406#17.83#4721
9#hải trạch rc#3864218#1.97#8707
10#hoà trạch rc#3862820#22.00#4612
11#hoàn trạch rc#3862435#7.71#3501
12#hưng trạch rc#3675051#95.12#10959
13#lm trạch rc#3679371#27.92#3387
14#liên trạch rc#2212693#27.70#3939
15#lý trạch rc#3862279#21.77#4138
16#mỹ trạch rc#3866401#9.38#3464
17#nam trạch rc#3862628#19.14#3201
18#nhn trạch rc#3862134#2.44#9028
19#phú định rc#2212309#153.58#2653
20#phú trạch rc#3864211#13.18#3988
21#phúc trạch rc#3679731#60.10#9866
22#sơn lộc rc#3864549#11.72#212
23#sơn trạch rc#3675055#101.2#987
24#tn trạch rc#(099) 452001#362.81#228
25#ty trạch rc#3862760#27.30#4979
26#thanh trạch rc#3655470#24.35#11107
27#thượng trạch rc#(099) 452003#725.71#1823
28#trung trạch rc#3862763#10.59#5019
29#vạn trạch rc#3678324#27.43#6662
30#xun trạch rc#3679356#176.97#5097
