location (state , city)#usn 2013#bw 2013#forbes 2011#ec 2013#ft 2011#ae 2011#cnn 2011#bi 2013#arwu 2012
alabama , auburn#75#1000#1000#1000#1000#1000#1000#1000#1000
north carolina , winston - salem#47#44#30#1000#78#1000#1000#1000#1000
pennsylvania , philadelphia#1000#1000#1000#1000#1000#1000#1000#1000#76
illinois , chicago#6#1#2#1#12#10#7#25#2
massachusetts , boston#40#39#61#49#68#58#1000#10#35
massachusetts , waltham#1000#1000#1000#92#1000#1000#1000#1000#1000
ohio , cincinnati#99#1000#1000#1000#1000#1000#1000#1000#151
minnesota , minneapolis#23#33#28#65#1000#1000#1000#1000#14
massachusetts , chestnut hill#40#47#53#1000#74#1000#1000#1000#51
new york , new york city#8#14#7#7#7#7#9#4#5
texas , dallas#52#29#25#79#88#51#49#1000#101
florida , winter park#107#1000#46#1000#1000#1000#1000#1000#1000
alabama , tuscaloosa#58#1000#1000#1000#1000#1000#1000#1000#151
virginia , charlottesville#12#10#9#4#41#26#1000#30#51
utah , salt lake city#61#1000#1000#1000#1000#1000#1000#1000#76
louisiana , baton rouge#61#1000#64#1000#1000#1000#1000#1000#151
new york , henrietta#63#1000#1000#1000#1000#1000#1000#1000#1000
michigan , east lansing#43#35#19#1000#1000#1000#1000#34#30
arizona , tucson#44#49#60#1000#1000#1000#1000#1000#76
ohio , columbus#27#27#34#51#72#1000#1000#31#28
new york , new york city#79#58#55#1000#1000#1000#1000#1000#151
washington , seattle#23#37#36#35#86#1000#1000#36#26
pennsylvania , philadelphia#58#1000#73#89#1000#1000#1000#1000#151
massachusetts , wellesley#56#42#44#1000#84#19#1000#40#1000
louisiana , new orleans#67#1000#52#1000#1000#1000#1000#1000#1000
north carolina , durham#11#6#8#20#20#21#1000#5#21
georgia , atlanta#27#23#43#1000#59#1000#1000#1000#76
georgia , atlanta#18#22#22#28#38#32#35#39#51
california , malibu#96#1000#74#1000#92#1000#1000#1000#1000
california , berkeley#7#13#13#6#25#24#11#16#4
texas , waco#70#1000#1000#1000#1000#1000#1000#1000#1000
massachusetts , boston#1#2#3#5#3#1#1#1#1
washington , d.c#91#59#1000#1000#1000#1000#1000#1000#1000
massachusetts , cambridge#1000#1000#1000#29#61#1000#1000#1000#1000
iowa , ames#70#1000#1000#1000#1000#1000#1000#1000#76
massachusetts , amherst#51#1000#1000#1000#1000#1000#1000#1000#101
texas , houston#30#36#45#53#44#1000#25#1000#51
missouri , st. louis#84#1000#1000#1000#1000#1000#1000#1000#1000
