round#pick#player#position#school / club team
1#9#urban odson#tackle#minnesota
3#24#ray frankowski#guard#washington
5#39#bill green#back#iowa
6#49#joe krivonak#guard#south carolina
7#59#preston johnston#back#smu
8#69#joe rogers#end#michigan
9#79#noah langdale#tackle#alabama
10#89#gene flick#center#minnesota
11#99#tom farris#back#wisconsin
12#109#jimmy richardson#back#marquette
13#119#bruce smith#halfback#minnesota
14#129#bill applegate#guard#south carolina
15#139#jim trimble#tackle#indiana
16#149#tom kinkade#back#ohio state
17#159#fred preston#end#nebraska
18#169#robert ingalls#center#michigan
19#179#george benson#back#northwestern
20#189#horace young#back#smu
21#194#henry woronicz#end#boston college
22#199#woody adams#tackle#tcu
