round#pick#player#position#school / club team
1#8#dick wildung#tackle#minnesota
3#23#irv comp#back#benedictine
5#38#roy mckay#back#texas
6#48#nick susoeff#end#washington state
7#58#ken snelling#fullback#ucla
8#68#lester gatewood#center#baylor
9#78#norm verry#tackle#usc
10#88#solon barnett#guard#baylor
11#98#bob forte#back#arkansas
12#108#van davis#end#georgia
13#118#tom brock#center#notre dame
14#128#ralph tate#back#oklahoma state
15#138#don carlson#tackle#denver
16#148#mike welch#back#minnesota
17#158#ron thomas#guard#usc
18#168#jim powers#tackle#st mary 's (ca)
19#178#hal prescott#wide receiver#hardin - simmons
20#188#eddie forrest#center#santa clara
21#198#lloyd wasserbach#tackle#wisconsin
22#208#mark hoskins#back#wisconsin
23#218#earl bennett#guard#hardin - simmons
24#228#george zellick#end#oregon state
25#238#gene bierhaus#end#minnesota
26#248#george makris#guard#wisconsin
27#258#pete susick#back#washington
28#268#bud hasse#end#northwestern
29#278#dick thornally#tackle#wisconsin
30#288#bob ray#back#wisconsin
31#293#brunel christensen#tackle#california
32#298#ken roskie#fullback#south carolina
