year#flagship station#play - by - play#color commentator (s)#studio host
1999 - 2000#weei#howard david#cedric maxwell#ted sarandis
1998 - 99#weei#howard david#cedric maxwell#ted sarandis
1997 - 98#weei#howard david#cedric maxwell#ted sarandis
1996 - 97#weei#spencer ross#cedric maxwell#ted sarandis
1995 - 96#wrko#spencer ross#cedric maxwell#ted sarandis
1994 - 95#weei#glenn ordway#jerry sichting#craig mustard
1993 - 94#weei#glenn ordway#jerry sichting#craig mustard
1992 - 93#weei#glenn ordway#jerry sichting#craig mustard
1991 - 92#weei#glenn ordway#jerry sichting#craig mustard
1990 - 91#weei#glenn ordway#doug brown#craig mustard
