call sign#frequency mhz#city of license#erp w#class#fcc info
wlpe#91.7#augusta , ga#1150#a#fcc
wgph#91.5#vidalia , ga#31000#c2#fcc
wwgf#107.5#donalsonville , ga#6000#a#fcc
wpwb#90.5#byron , ga#16500#c2#fcc
wlpf#98.5#ocilla , ga#2300#a#fcc
wziq#106.5#smithville , ga#2450#a#fcc
wlpg#91.7#florence , sc#20000#c2#fcc
wpma#102.7#greensboro , ga#7500#c3#fcc
wthp#94.3#gibson , ga#6300#c3#fcc
wlpt#88.3#jesup , ga#20000#c1#fcc
wsja#91.3#york , al#5000#a#fcc
wlgp#100.3#jacksonville , nc#100000#c1#fcc
