player#club#league#fa cup#fa trophy#league cup#total
david leworthy#farnborough town#32#1#5#1#39
mark whitehouse#bromsgrove rovers#23#0#2#1#26
malcolm o'connor#northwich victoria#21#2#1#3#27
keith scott#wycombe wanderers#20#1#5#2#28
paul cavell#dagenham & redbridge#19#8#1#1#29
terry robbins#welling united#19#1#2#1#23
andy sayer#slough town#19#1#1#0#21
karl thomas#witton albion#19#0#3#0#22
gary abbott#welling united#17#0#1#1#19
phil brown#kettering town#16#2#0#0#18
gary jones#boston united#16#2#5#1#24
mickey spencer#yeovil town#16#2#1#2#21
tony hemmings#northwich victoria#15#1#0#4#20
alan lamb#gateshead#15#7#1#0#23
