name#height#weight (lbs)#position#class#hometown
denis clemente 1#6'#180#g#jr#bayamón , puerto rico
jacob pullen#6'1#185#g#fr#maywood , il , u.s
fred brown#6'3#185#g#fr#west palm beach , fl , u.s
blake young#6'2#195#g#sr#orlando , fl , u.s
andre gilbert#6'7#205#f#jr#brooklyn park , mn , u.s
clent stewart#6'4#195#g#sr#tulsa , ok , u.s
bill walker 2#6'6#220#f#fr#huntington , wv , u.s
david hoskins 3#6'5#230#f#sr#canton , mi , u.s
jamar samuels 4#6'8#200#f#fr#washington , dc , u.s
dominique sutton 4#6'5#205#g#fr#durham , nc , u.s
michael beasley#6'10#235#f#fr#frederick , md , u.s
chris merriewether#6'4#195#g#so#jacksonville , fl , u.s
ron anderson#6'8#245#f#fr#upper marlboro , md , u.s
darren kent#6'10#210#f#jr#apple valley , mn , u.s
luis colon#6'10#275#c#so#bayamón , puerto rico
james franklin#6'#190#g#sr#kansas city , ks , u.s
