district#incumbent#2008 status#democratic#republican
1#steve chabot#re - election#steve driehaus#steve chabot
2#jean schmidt#re - election#victoria wulsin#jean schmidt
3#mike turner#re - election#jane mitakides#mike turner
4#jim jordan#re - election#mike carroll#jim jordan
5#bob latta#re - election#george mays#bob latta
6#charlie wilson#re - election#charlie wilson#richard stobbs
7#david hobson#open#sharen neuhardt#steve austria
8#john boehner#re - election#nicholas von stein#john boehner
9#marcy kaptur#re - election#marcy kaptur#bradley leavitt
10#dennis kucinich#re - election#dennis kucinich#jim trakas
11#marcia l fudge#re - election#marcia l fudge#thomas pekarek
12#pat tiberi#re - election#david robinson#pat tiberi
13#betty sutton#re - election#betty sutton#david potter
14#steve latourette#re - election#bill o'neill#steve latourette
15#deborah pryce#open#mary jo kilroy#steve stivers
16#ralph regula#open#john boccieri#kirk schuring
17#tim ryan#re - election#tim ryan#duane grassell
18#zack space#re - election#zack space#fred dailey
