pick#nfl team#player#position#college
46#denver broncos#andre townsend#defensive end#mississippi
78#denver broncos#tony lilly#defensive back#florida
89#denver broncos#randy robbins#defensive back#arizona
159#denver broncos#aaron smith#linebacker#utah state
186#denver broncos#clarence kay#tight end#georgia
207#denver broncos#winford hood#tackle#georgia
218#denver broncos#scott garnett#defensive tackle#washington
245#denver broncos#chris brewer#running back#arizona
272#denver broncos#bobby micho#tight end#texas
299#denver broncos#gene lang#running back#louisiana state
326#denver broncos#murray jarman#wide receiver#clemson
