episode#title#writer#director#original airdate
1#the comeback ( pilot )#lisa kudrow & michael patrick king#michael patrick king#june 5 , 2005 (hbo)
2#valerie triumphs at the upfronts#lisa kudrow & michael patrick king#michael patrick king#june 12 , 2005 (hbo)
3#valerie bonds with the cast#michael patrick king#michael lehmann#june 19 , 2005 (hbo)
4#valerie stands up for aunt sassy#john riggi#michael lehmann#june 26 , 2005 (hbo)
5#valerie demands dignity#linda wallem#greg mottola#july 10 , 2005 (hbo)
6#valerie saves the show#michael schur#greg mottola#july 17 , 2005 (hbo)
7#valerie gets a special episode#john riggi#michael lehmann#july 24 , 2005 (hbo)
8#valerie relaxes in palm springs#linda wallem and michael patrick king#michael lehmann#july 31 , 2005 (hbo)
9#valerie hangs with the cool kids#michael schur#j clark mathis#august 7 , 2005 (hbo)
10#valerie gets a magazine cover#amy b harris#david steinberg#august 15 , 2005 (hbo)
11#valerie stands out on the red carpet#michael patrick king#michael patrick king#august 21 , 2005 (hbo)
12#valerie shines under stress#heather morgan#david steinberg#august 28 , 2005 (hbo)
13#valerie does another classic leno#michael patrick king#michael patrick king#september 4 , 2005 (hbo)
