place#player#country#score#to par
t1#seve ballesteros#spain#69#- 2
t1#john mahaffey#united states#69#- 2
t1#bob murphy#united states#69#- 2
4#bruce devlin#australia#70#- 1
t5#lou graham#united states#71#e
t5#bobby wadkins#united states#71#e
t5#d a weibring#united states#71#e
t8#jim booros#united states#72#+ 1
t8#frank conner#united states#72#+ 1
t8#raymond floyd#united states#72#+ 1
t8#hale irwin#united states#72#+ 1
t8#jim nelford#canada#72#+ 1
t8#nick price#zimbabwe#72#+ 1
t8#joey rassett#united states#72#+ 1
t8#lanny wadkins#united states#72#+ 1
t8#tom watson#united states#72#+ 1
