game#february#opponent#score#record
52#3#boston bruins#7 - 3#35 - 13 - 4
53#4#atlanta flames#6 - 0#36 - 13 - 4
54#7#new york islanders#6 - 0#37 - 13 - 4
55#10#new york islanders#6 - 0#38 - 13 - 4
56#11#montreal canadiens#2 - 2#38 - 13 - 5
57#14#montreal canadiens#6 - 3#38 - 14 - 5
58#15#buffalo sabres#4 - 1#38 - 15 - 5
59#18#new york islanders#3 - 2#39 - 15 - 5
60#21#los angeles kings#4 - 3#40 - 15 - 5
61#23#california golden seals#5 - 3#40 - 16 - 5
62#25#minnesota north stars#6 - 5#41 - 16 - 5
63#28#chicago black hawks#3 - 3#41 - 16 - 6
