year#competition#venue#position#notes
1997#world championships#athens , greece#12th#20 km
1997#world race walking cup#podebrady , czech republic#17th#20 km
1998#european championships#budapest , hungary#12th#20 km
1999#world championships#seville , spain#5th#20 km
1999#world race walking cup#mézidon - canon , france#8th#20 km
2000#olympic games#sydney , australia#9th#20 km
2001#world championships#edmonton , canada#12th#20 km
2001#mediterranean games#radès , tunisia#3rd#20 km
2002#european championships#munich , germany#7th#20 km
2002#world race walking cup#turin , italy#7th#20 km
2003#european race walking cup#cheboksary , russia#2nd#20 km
2003#world championships#paris , france#21st#20 km
2004#world race walking cup#naumburg , germany#13th#20 km
2004#olympic games#athens , greece#dnf#20 km
