position#club#played#points#wins#draws#losses#goals for#goals against#goal difference
1#real murcia#30#40#19#2#9#83#39#+ 44
2#atlético tetuán#30#39#16#7#7#56#33#+ 23
3#granada cf#30#38#17#4#9#54#25#+ 29
4#ud españa tanger#30#37#15#7#8#56#47#+ 9
5#real betis#30#34#14#6#10#48#47#+ 1
6#jerez cd#30#32#13#6#11#60#49#+ 11
7#real jaén#30#32#12#8#10#69#58#+ 11
8#cd badajoz#30#31#14#3#13#51#60#- 9
9#cd tenerife#30#29#14#1#15#51#47#+ 4
10#cd sabadell cf#30#28#11#6#13#51#54#- 3
11#cf extremadura#30#28#12#4#14#54#69#- 15
12#cd castellón#30#27#12#3#15#50#57#- 7
13#cd san fernando#30#26#10#6#14#57#69#- 12
14#cd tarrasa#30#25#11#3#16#52#64#- 12
15#levante ud#30#19#8#3#19#51#65#- 14
16#balomp linense#30#15#6#3#21#37#97#- 60
