res#record#opponent#method#event#round#time#location
win#11 - 12 - 1#ryan jensen#submission (triangle choke)#vfc 19 - inferno#1#3:10#iowa , united states
win#11 - 11 - 1#gerald harris#ko (slam)#tfc 7 - red rumble#1#4:57#kansas , united states
win#11 - 10 - 1#zelg galesic#submission (armbar)#cage rage 17#1#1:10#london , england
win#11 - 9 - 1#jerry spiegel#tko (punches)#ff 1 - fightforce : butte brawl 1#1#2:50#montana , united states
win#10 - 9 - 1#jorge patino#decision (unanimous)#cage rage 16#3#5:00#london , england
win#10 - 8 - 1#daijiro matsui#decision (majority)#cage rage 15#3#5:00#london , england
loss#10 - 7 - 1#anderson silva#ko (punches)#cage rage 14#1#4:59#london , england
win#10 - 6 - 1#nilson de castro#tko (punches)#cage rage 12 - the real deal#1#0:15#england
win#9 - 6 - 1#mark weir#tko (punches)#cage rage 11 - face off#1#1:45#england
win#8 - 6 - 1#sol gilbert#ko (punch)#cage rage 10 - deliverance#2#0:20#england
win#7 - 6 - 1#rich franklin#submission (punches)#sb 38 - superbrawl 38#2#1:28#hawaii , united states
win#7 - 5 - 1#david loiseau#decision (unanimous)#tko 17 - revenge#3#5:00#quebec , canada
win#7 - 4 - 1#trevor prangley#submission (cobra choke)#ufc 48#2#1:05#nevada , united states
win#7 - 3 - 1#mike rothmeir#ko (punch)#rsf - shooto challenge 2#1#1:02#illinois , united states
win#6 - 3 - 1#danny anderson#tko (punches)#vfc 6 - overload#1#0:25#iowa , united states
win#5 - 3 - 1#german reyes#tko (leg kicks)#hooknshoot#2#4:49#indiana , united states
win#4 - 3 - 1#efrain ruiz#tko (corner stoppage)#hooknshoot - absolute fighting championships 3#1#5:00#florida , united states
loss#3 - 3 - 1#andrei semenov#submission (rear naked choke)#m - 1 mfc - russia vs the world 4#1#2:57#st petersburg , russia
win#3 - 2 - 1#john renken#ko (head kick)#hooknshoot - new wind#1#0:11#indiana , united states
win#3 - 1 - 1#shiko yamashita#decision (unanimous)#hooknshoot - kings 1#2#5:00#indiana , united states
win#2 - 1 - 1#angelo popofski#ko (punches)#hooknshoot - masters#2#0:13#indiana , united states
loss#1 - 1 - 1#phil baroni#decision (unanimous)#ufc 30#2#5:00#new jersey , united states
draw#1 - 0 - 1#brian guidry#draw#hooknshoot - fusion#2#5:00#indiana , united states
win#1 - 0#bradley burrick#submission (guillotine choke)#hooknshoot - driven#1#3:27#indiana , united states
