res#record#opponent#method#event#round#time#location
loss#13 - 5#tim boetsch#decision (split)#ufc 166#3#5:00#houston , texas , united states
win#13 - 4#daniel sarafian#decision (split)#ufc on fx : belfort vs bisping#3#5:00#são paulo , brazil
win#12 - 4#jason miller#decision (unanimous)#ufc 146#3#5:00#las vegas , nevada , united states
loss#11 - 4#jared hamman#tko (punches)#ufc live : hardy vs lytle#2#3:38#milwaukee , wisconsin , united states
loss#11 - 3#mark muñoz#ko (punches)#ufc live : sanchez vs kampmann#1#0:54#louisville , kentucky , united states
win#11 - 2#joe doerksen#submission (peruvian necktie)#ufc 119#1#2:13#indianapolis , indiana , united states
win#10 - 2#goran reljić#decision (unanimous)#ufc 110#3#5:00#sydney , australia
win#9 - 2#jay silva#decision (unanimous)#ufc fight night : diaz vs guillard#3#5:00#oklahoma city , oklahoma , united states
loss#8 - 2#tom lawlor#technical submission (guillotine choke)#ufc 100#1#0:55#las vegas , nevada , united states
win#8 - 1#mike massenzio#tko (punches)#ufc 92#1#3:01#las vegas , nevada , united states
win#7 - 1#jesse taylor#submission (peruvian necktie)#ufc fight night : silva vs irvin#1#3:58#las vegas , nevada , united states
loss#6 - 1#amir sadollah#submission (armbar)#the ultimate fighter 7 finale#1#3:02#las vegas , nevada , united states
win#6 - 0#bill smallwood#submission (rear - naked choke)#se : vale tudo#1#n / a#mexico
win#5 - 0#hans marrero#tko (knee and punches)#hdnet fights 1#1#1:07#dallas , texas , united states
win#4 - 0#joe bunch#tko (punches)#ifo : wiuff vs salmon#2#4:31#las vegas , nevada , united states
win#3 - 0#george hartman#decision (unanimous)#rage in the cage 94#3#3:00#phoenix , arizona , united states
win#2 - 0#levi lalonde#tko (punches)#wfc : desert storm#1#2:40#camp verde , arizona , united states
win#1 - 0#chuck pablo#tko (slam)#cage fighting federation#n / a#n / a#albuquerque , new mexico , united states
