res#record#opponent#method#event#round#location
loss#8 - 5#jake o'brien#decision (split)#ufc 94#3#las vegas , nevada , united states
loss#8 - 4#shane carwin#ko (punch)#ufc 84#1#las vegas , nevada , united states
win#8 - 3#scott junk#submission (heel hook)#ufc 76#1#california , united states
win#7 - 3#anthony perosh#decision (unanimous)#ufc 66#3#nevada , united states
loss#6 - 3#cheick kongo#ko (knee)#ufc 62#1#nevada , united states
win#6 - 2#dan evensen#tko (corner stoppage)#ifc : caged combat#2#california , united states
win#5 - 2#tom howard#submission (rear naked choke)#valor fighting : showdown at cache creek#1#california , united states
loss#4 - 2#soa palelei#tko#shooto australia : nhb#1#australia
win#4 - 1#vince lucero#tko#cfm : octogono extremo#1#mexico
loss#3 - 1#kensuke sasaki#submission (guillotine choke)#x - 1#1#yokohama , japan
win#3 - 0#jay white#tko (strikes)#wec 4#3#connecticut , united states
win#2 - 0#sam sotello#submission (rear naked choke)#kotc 16: double cross#1#california , united states
win#1 - 0#dennis taddio#tko (punches)#shogun 1#1#hawaii , united states
