res#record#opponent#method#round#time#location
loss#22 - 13#rustam khabilov#decision (unanimous)#3#5:00#wilkes barre , pennsylvania , united states
win#22 - 12#paul bird#submission (armbar)#2#3:19#clive , iowa
loss#21 - 12#daniel straus#decision (unanimous)#5#5:00#cleveland , ohio , united states
loss#21 - 11#chris lozano#tko (retirement)#4#5:00#cleveland , ohio , united states
loss#21 - 10#george sotiropoulos#submission (armbar)#2#4:36#las vegas , nevada , united states
win#21 - 9#cameron dollar#submission (anaconda choke)#1#4:46#las vegas , nevada , united states
win#20 - 9#matt shaw#submission (keylock)#2#3:41#niles , ohio , united states
win#19 - 9#nick sorg#submission (armbar)#2#4:33#cleveland , ohio , united states
win#18 - 9#harris sarmiento#submission (anaconda choke)#5#1:49#niles , ohio , united states
loss#17 - 9#torrance taylor#decision (split)#5#5:00#cleveland , ohio , united states
win#17 - 8#israel giron#submission (guillotine choke)#2#1:47#monterrey , mexico
win#16 - 8#luke spencer#tko (punches)#2#2:55#cleveland ohio , united states
win#15 - 8#mike bogner#submission (anaconda choke)#1#0:58#cleveland , ohio , united states
loss#14 - 8#gleison tibau#decision (unanimous)#3#5:00#columbus , ohio , united states
loss#14 - 7#roger huerta#decision (unanimous)#3#5:00#anaheim , california , united states
win#14 - 6#kolo koka#submission (armbar)#3#1:07#honolulu , hawaii , united states
win#13 - 6#luke spencer#submission (triangle choke)#3#0:43#cleveland , ohio , united states
win#12 - 6#joe voisin#submission (guillotine choke)#1#4:50#mt. pleasant , michigan , united states
win#11 - 6#clint zeedyk#tko (punches)#2#1:40#cleveland , ohio , united states
loss#10 - 6#brandon garner#submission (armbar)#1#2:49#alberta , canada
win#10 - 5#josh souder#tko (cut)#1#1:57#cleveland , ohio , united states
win#9 - 5#primo luciano#submission (punches)#1#n / a#columbus , ohio , united states
loss#8 - 5#paulo dantas#decision (unanimous)#2#5:00#cleveland , ohio , united states
win#8 - 4#joe voisin#submission (triangle choke)#2#1:17#muncie , indiana , united states
loss#7 - 4#jeff curran#decision (unanimous)#3#5:00#mchenry , illinois , united states
loss#7 - 3#ryan schultz#tko (punches)#1#2:00#quebec , canada
win#7 - 2#tom kirk#submission (triangle choke)#3#2:43#muncie , indiana , united states
win#6 - 2#d'angelo nickle#submission (punches)#1#n / a#covington , kentucky , united states
loss#5 - 2#tetsuji kato#decision (unanimous)#3#5:00#honolulu , hawaii , united states
win#5 - 1#matt brady#submission (armbar)#1#n / a#canton , ohio , united states
win#4 - 1#davy gibson#submission (armbar)#1#n / a#anderson , indiana , united states
win#3 - 1#billy rush#submission (punches)#1#3:49#middletown , ohio , united states
win#2 - 1#nick spencer#submission (triangle choke)#3#2:20#steubenville , ohio , united states
loss#1 - 1#antoine skinner#decision (unanimous)#3#5:00#muncie , indiana , united states
win#1 - 0#tim newland#submission (triangle choke)#3#3:15#anderson , indiana , united states
