res#record#opponent#method#event#round#time#location
win#12 - 6#dan chambers#tko (punches)#ringside mma - rivalry#1#4:03#quebec , canada
loss#11 - 6#mike swick#submission (guillotine choke)#ufc 58#1#2:09#las vegas , nevada , united states
win#11 - 5#jason st louis#tko#tko 22 - lionheart#2#0:30#quebec , canada
loss#10 - 5#chris fontaine#tko (knee)#tko 15 - unstoppable#1#1:14#quebec , canada
loss#10 - 4#patrick côté#ko#tko 14 - road warriors#1#1:08#quebec , canada
win#10 - 3#sean pierson#decision (unanimous)#tko 13 - ultimate rush#3#5:00#montreal , quebec , canada
win#9 - 3#jermaine andre#decision (unanimous)#ucc 12 - adrenaline#3#5:00#quebec , canada
win#8 - 3#jeromie sills#ko#ucc 10 - battle for the belts 2002#2#2:19#quebec , canada
win#7 - 3#jp cantin#submission (punches)#ucc 8 - fast and furious#1#1:53#quebec , canada
win#6 - 3#mike kitchen#tko (corner stoppage)#ucc 6 - redemption#2#4:38#montreal , quebec , canada
win#5 - 3#jason st louis#tko (corner stoppage)#ucc 4 - return of the super strikers#1#10:00#quebec , canada
win#4 - 3#shawn peters#submission (triangle choke)#ucc 3 - battle for the belts#1#0:32#quebec , canada
loss#3 - 3#david loiseau#tko (corner stoppage)#ucc 2 - the moment of truth#1#10:00#montreal , quebec , canada
win#3 - 2#shawn tompkins#tko (punches)#ucc 2 - the moment of truth#1#2:43#montreal , quebec , canada
win#2 - 2#jeff davis#tko (punches)#ucc 1 - the new beginning#1#0:15#montreal , quebec , canada
loss#1 - 2#sean pierson#submission (strikes)#ifc - battleground 2000#1#1:17#kahnawake , quebec , canada
loss#1 - 1#sean pierson#tko#ifc - montreal cage combat#1#1:07#quebec , canada
win#1 - 0#chris ellerton#tko#ifc - montreal cage combat#1#5:34#quebec , canada
