result#record#opponent#method#location
win#11 - 10#noel cadet#ko (right hook)#bratislava , slovakia
win#10 - 10#igor mihaljevic#decision (unanimous)#dunaújváros , hungary
loss#9 - 10#raul cătinaş#decision (unanimous)#arad , romania
loss#9 - 9#björn bregy#ko (punches)#budapest , hungary
loss#9 - 8#duško basrak#extra round decision (majority)#prague , czech republic
win#9 - 7#taner kutlu#ko#corsica , france
loss#8 - 7#łukasz jarosz#decision#martigues , france
loss#8 - 6#brecht wallis#ko (straight punch)#bucharest , romania
win#8 - 5#adnan redžović#tko (three knockdowns)#bucharest , romania
win#7 - 5#sebastian chira#ko#bucharest , romania
loss#6 - 5#nikos tsoukalas#decision#beverwijk , netherlands
loss#6 - 4#chris chrisopoulides#decision#auckland , new zealand
loss#6 - 3#jason suttie#decision (majority)#auckland , new zealand
loss#6 - 2#matt samoa#ko#gold coast , australia
loss#6 - 1#jason suttie#decision#auckland , new zealand
win#6 - 0#hiriwa te rangi#tko#auckland , new zealand
win#5 - 0#ricardo van den bos#tko#gold coast , australia
win#4 - 0#mitch o'hello#tko#auckland , new zealand
win#3 - 0#charlie smiler#ko#auckland , new zealand
win#2 - 0#edwin marsh#ko#auckland , new zealand
win#1 - 0#darren berry#ko#auckland , new zealand
