res#record#opponent#method#event#round#time#location
loss#13 - 4#lyoto machida#ko (head kick)#ufc fight night : machida vs munoz#1#3:10#manchester , england , united kingdom
win#13 - 3#tim boetsch#decision (unanimous)#ufc 162#3#5:00#las vegas , nevada , united states
loss#12 - 3#chris weidman#ko (elbow & punches)#ufc on fuel tv : munoz vs weidman#2#1:37#san jose , california , united states
win#12 - 2#chris leben#tko (corner stoppage)#ufc 138#2#5:00#birmingham , england , united kingdom
win#11 - 2#demian maia#decision (unanimous)#ufc 131#3#5:00#vancouver , british columbia , canada
win#10 - 2#cb dollaway#ko (punches)#ufc live : sanchez vs kampmann#1#0:54#louisville , kentucky , united states
win#9 - 2#aaron simpson#decision (unanimous)#ufc 123#3#5:00#auburn hills , michigan , united states
loss#8 - 2#yushin okami#decision (split)#ufc live : jones vs matyushenko#3#5:00#san diego , california , united states
win#8 - 1#kendall grove#tko (punches)#ufc 112#2#2:50#abu dhabi , united arab emirates
win#7 - 1#ryan jensen#submission (punches)#ufc 108#1#2:30#las vegas , nevada , united states
win#6 - 1#nick catone#decision (split)#ufc 102#3#5:00#portland , oregon , united states
loss#5 - 1#matt hamill#ko (head kick)#ufc 96#1#3:53#columbus , ohio , united states
win#5 - 0#ricardo barros#tko (punches)#wec 37#1#2:26#las vegas , nevada , united states
win#4 - 0#chuck grigsby#ko (punches)#wec 34#1#4:15#sacramento , california , united states
win#3 - 0#tony rubalcava#decision (unanimous)#pfc 4: project complete#3#3:00#lemoore , california , united states
win#2 - 0#mike pierce#decision (unanimous)#gc 69: bad intentions#3#5:00#sacramento , california , united states
win#1 - 0#austin achorn#tko (punches)#pfc 3: step up#1#1:25#lemoore , california , united states
