player#height#position#year born (age)#current club
jermaine anderson#1.86#pg#february 8 , 1983 (age30)#walter tigers tübingen
tyler kepkay#1.83#pg#june 19 , 1987 (age26)#university of utah
samuel dalembert#2.11#c#may 10 , 1980 (age33)#philadelphia 76ers
olu famutimi#1.96#sg / sf#february 21 , 1984 (age29)#khimik yuzhny
carl english#1.95#sg / sf#february 2 , 1981 (age32)#gran canaria
rowan barrett#1.97#f#november 24 , 1972 (age41)#chalon - sur - saône
andy rautins#1.98#sg#november 2 , 1986 (age27)#syracuse university
dave thomas#2.04#sf#december 4 , 1976 (age37)#cairns taipans
aaron doornekamp#1.98#f#december 5 , 1985 (age28)#carleton university
rans brempong#2.04#pf#july 22 , 1981 (age32)#bayer giants leverkusen
levon kendall#2.10#pf#july 4 , 1984 (age29)#panionios forthnet
joel anthony#2.06#c#august 9 , 1982 (age31)#miami heat
