year#winner#runner - up#venue#location
2013#bryson dechambeau#austin cook jeremy sanders#meadow club#fairfax , california
2012#tyler raber#steven ihm#oak tree national#edmond , oklahoma
2011#kelly kraft#dylan frittelli tanner kesterson#kansas city country club#mission hills , kansas
2010#scott pinckney#kevin tway#denver country club#denver , colorado
2009#chris kessler#mark healer#flint hills national golf club#andover , kansas
2008#mike mccoy#bryon shumate#wakonda country club#des moines , iowa
2007#trent brown#jim lehman#the minikahda club#minneapolis , minnesota
2006#robert funk#david leachman#brook hollow golf club#dallas , texas
2005#david bartman#mark lindberg#prairie dunes country club#hutchinson , kansas
2004#scott mcgihon#sam manning#la jolla country club#la jolla , california
2003#bob kearney#eric sexton#flint hills national golf club#andover , kansas
2002#john goode#james reid#barton creek golf club#austin , texas
2001#chip stewart#marty sallaz#kansas city country club#mission hills , kansas
2000#mike mccoy#jim wahl#white bear yacht club#white bear lake , minnesota
1999#mike podolak#dan dunkelberg#oklahoma city golf & country club#oklahoma city , oklahoma
1998#dan dunkelberg#john olive#cherry hills country club#cherry hills village , colorado
1997#johnny stevens#john hoffman#brook hollow golf club#dallas , texas
1996#john grace#terry o'loughlin#prairie dunes country club#hutchinson , kansas
1995#ed gibstein#pat duncan#the farms golf club#rancho santa fe , california
1994#sandy adelman#mike podolak#the minikahda club#minneapolis , minnesota
1993#david ojala#marty sallaz#kansas city country club#mission hills , kansas
1992#randy sonnier#ricky lutz#wichita country club#wichita , kansas
1991#mike mcclung#jeff kiley#lakeside golf club#toluca lake , california
1990#bobby godwin#bob finger#oklahoma city golf & country club#oklahoma city , oklahoma
1989#ron richard#greg towne#la jolla country club#la jolla , california
1988#tom merry#greg starkman#woodhill country club#wayzata , minnesota
1987#ron richard#stephen mcgraw#prairie dunes country club#hutchinson , kansas
1986#brian watts#neil hickerson#crown colony country club#lufkin , texas
1985#bob estes#bill spangler#hardscrabble country club#fort smith , arkansas
1984#john pigg#billy ray brown#hills of lakeway#austin , texas
1983#greg chapman#brandel chamblee#kansas city country club#mission hills , kansas
1982#john sherman#mark fuller#oklahoma city golf & country club#oklahoma city , oklahoma
1981#robert wrenn#bryan norton#the minikahda club#minneapolis , minnesota
1980#raymond barr#gregg jones#denver country club#denver , colorado
1979#mark brooks#jimmy johnson#hardscrabble country club#fort smith , arkansas
1978#bob tway#john shackleford#brook hollow golf club#dallas , texas
1977#john fought#scott simpson#midland country club#midland , texas
1976#doug clarke#ed updegraff#spyglass hill#pebble beach , california
1975#tim wilson#warren aune#kansas city country club#mission hills , kansas
1974#tom jones#michael brennan#cedar ridge country club#tulsa , oklahoma
1973#gary koch#guy collins#prairie dunes country club#hutchinson , kansas
1972#ben crenshaw#john paul cain#brook hollow golf club#dallas , texas
1971#allen miller#alan tapie#spyglass hill#pebble beach , california
1970#allen miller#joe inman#oklahoma city golf & country club#oklahoma city , oklahoma
1969#allen miller#dean overturf#cherry hills country club#cherry hills village , colorado
1968#bill hyndman#edward hopkins#southern hills country club#tulsa , oklahoma
1967#hal greenwood#larry hinson#san antonio country club#san antonio , texas
1966#jim wiechers#bob smith#edina country club#edina , minnesota
1965#george boutell#jim hardy#kansas city country club#mission hills , kansas
1964#wright garrett#dave eichelberger#broadmoor golf club#colorado springs , colorado
1963#george archer#david marad#phoenix country club#phoenix , arizona
1962#bob ryan#harry toscano , jr#old warson country club#saint louis , missouri
1961#herb durham#matt tabor#twin hills golf & country club#oklahoma city , oklahoma
1960#deane beman#jacky cupit#wichita country club#wichita , kansas
1959#jack nicklaus#deane beman#woodhill country club#wayzata , minnesota
1958#jack nicklaus#richie norville#prairie dunes country club#hutchinson , kansas
1957#rex baxter#john zibnack#brook hollow golf club#dallas , texas
1956#charles coe#ronnie wenzler#oklahoma city golf & country club#oklahoma city , oklahoma
1955#james jackson#rex baxter#wakonda country club#des moines , iowa
1954#james jackson#rex baxter#cherry hills country club#cherry hills village , colorado
1953#joe conrad#james vickers#kansas city country club#mission hills , kansas
1952#charles coe#buster reed#lakewood country club#denver , colorado
1951#l.m. crannel , jr#don addington#brook hollow golf club#dallas , texas
1950#jim english#jack vickers#happy hollow golf club#omaha , nebraska
1949#charles coe#fred newton#broadmoor golf club#colorado springs , colorado
1948#skee riegel#john kraft#mission hills country club#mission hills , kansas
1947#charles coe#eugene zuspann#wichita country club#wichita , kansas
1946#skee riegel#charles lind#denver country club#denver , colorado
1943 - 45: no tournament due to world war ii#1943 - 45: no tournament due to world war ii#1943 - 45: no tournament due to world war ii#1943 - 45: no tournament due to world war ii#1943 - 45: no tournament due to world war ii
1942#john kraft#t. oliver#blue hills country club#kansas city , missouri
1941#frank stranahan#john barnum#sunset golf club#saint louis , missouri
1940#art doering#o'hara watts#southern hills country club#tulsa , oklahoma
1939#chick harbert#ed c. kingsley#broadmoor golf club#colorado springs , colorado
1938#vene savage#ed c. kingsley#the country club of lincoln#lincoln , nebraska
1937#don schumacher#eddie held#cherry hills country club#cherry hills village , colorado
1936#johnny dawson#george matson#wichita country club#wichita , kansas
1935#johnny goodman#johnny dawson#wakonda country club#des moines , iowa
1934#leland hamman#johnny goodman#brook hollow golf club#dallas , texas
1933#gus moreland#lawson little#broadmoor golf club#colorado springs , colorado
1932#gus moreland#david goldman#oklahoma city golf & country club#oklahoma city , oklahoma
1931#johnny goodman#les bolstad#golden valley country club#golden valley , minnesota
1930#robert mccrary#james manion#broadmoor golf club#colorado springs , colorado
1929#robert mccrary#l.b. maytag#omaha field club#omaha , nebraska
1928#arthur bartlett#b.o. winter#wakonda country club#des moines , iowa
1927#johnny goodman#james ward#broadmoor golf club#colorado springs , colorado
1926#eddie held#johnny dawson#algonquin golf club#saint louis , missouri
1925#clarence wolff#arthur bartlett#omaha field club#omaha , nebraska
1924#james manion#lawson watts#st. joseph country club#st. joseph , missouri
1923#eddie held#richard bockenkamp#the minikahda club#minneapolis , minnesota
1922#r. knepper#george von elm#omaha country club#omaha , nebraska
1921#george von elm#l.d. brownfield#denver country club#denver , colorado
1920#robert mckee#clarence wolff#rock island arsenal golf club#rock island , illinois
1919#nelson whitney#richard bockenkamp#st louis country club#saint louis , missouri
1918#g.l. conley#frank griggs#hillcrest country club#kansas city , missouri
1917#sam w. reynolds#harry g. legg#st. joseph country club#st. joseph , missouri
1916#harry g. legg#w.j. hubbell#interlachen country club#edina , minnesota
1915#alden b. swift#harry g. legg#memphis country club#memphis , tennessee
1914#j.d. cady#h.a. mclaughlin#evanston golf club#kansas city , missouri
1913#stuart stickney#ralph rider#glen echo country club#saint louis , missouri
1912#harry g. legg#w.d. middleton#the minikahda club#minneapolis , minnesota
1911#harry g. legg#ralph rider#omaha country club#omaha , nebraska
1910#harry g. legg#william sheehan#denver country club#denver , colorado
1909#harry g. legg#b.f. guinand#des moines golf & country club#des moines , iowa
1908#e.h. seaver#harry g. legg#evanston golf club#kansas city , missouri
1907#sprague abbot#harry g. legg#rock island arsenal golf club#rock island , illinois
1906#c.t. jaffray#f.w. mccartney#omaha field club#omaha , nebraska
1905#warren dickinson#walter fairbanks#glen echo country club#saint louis , missouri
1904#h.p. bend#j.t. stewart#the minikahda club#minneapolis , minnesota
1903#john maxwell#p.h. finkbank#waveland park golf club#des moines , iowa
1902#r.r. kimball#warren dickinson#omaha country club#omaha , nebraska
1901#john stuart#warren dickinson#kansas city country club#kansas city , missouri
