year#political rights#civil liberties#status#president
1972#7#7#not free#idi amin
1973#7#7#not free#idi amin
1974#7#7#not free#idi amin
1975#7#7#not free#idi amin
1976#7#7#not free#idi amin
1977#7#7#not free#idi amin
1978#7#7#not free#idi amin
1979#6#6#not free#idi amin
1980#4#4#not free#godfrey binaisa
1981#5#5#partly free#milton obote
1982#5#5#partly free#milton obote
1983#4#5#partly free#milton obote
1984#4#5#partly free#milton obote
1985#5#4#partly free#milton obote
1986#5#4#partly free#tito okello
1987#5#4#partly free#yoweri museveni
1988#5#5#partly free#yoweri museveni
1989#6#4#partly free#yoweri museveni
1990#6#5#partly free#yoweri museveni
1991#6#6#not free#yoweri museveni
1992#6#5#not free#yoweri museveni
1993#6#5#not free#yoweri museveni
1994#5#5#partly free#yoweri museveni
1995#5#4#partly free#yoweri museveni
1996#4#4#partly free#yoweri museveni
1997#4#4#partly free#yoweri museveni
1998#4#4#partly free#yoweri museveni
1999#5#5#partly free#yoweri museveni
2000#6#5#partly free#yoweri museveni
2001#6#5#partly free#yoweri museveni
2002#6#4#partly free#yoweri museveni
2003#5#4#partly free#yoweri museveni
2004#5#4#partly free#yoweri museveni
2005#5#4#partly free#yoweri museveni
2006#5#4#partly free#yoweri museveni
2007#5#4#partly free#yoweri museveni
2008#5#4#partly free#yoweri museveni
2009#5#4#partly free#yoweri museveni
2010#5#4#partly free#yoweri museveni
2011#5#4#free#yoweri museveni
