res#record#opponent#method#event#round#time#location
loss#19 - 9 - 1#jimi manuwa#tko (corner stoppage)#ufc on fuel tv : barao vs mcdonald#1#5:00#london , england
win#19 - 8 - 1#chad griggs#submission (rear naked choke)#ufc 154#1#2:24#montreal , quebec , canada
win#18 - 8 - 1#tom deblass#decision (majority)#ufc on fuel tv : gustafsson vs silva#3#5:00#stockholm , sweden
loss#17 - 8 - 1#anthony perosh#submission (rear naked choke)#ufc 138#2#3:09#birmingham , england
win#17 - 7 - 1#steve cantwell#decision (unanimous)#ufc live : sanchez vs kampmann#3#5:00#louisville , kentucky , united states
loss#16 - 7 - 1#alexander gustafsson#submission (rear naked choke)#ufc 120#2#2:41#london , england
win#16 - 6 - 1#luiz cané#tko (punches)#ufc 114#1#2:13#las vegas , nevada , united states
win#15 - 6 - 1#rob smith#submission (rear naked choke)#tpf 2: brawl in the hall#1#1:47#lemoore , california , united states
win#14 - 6 - 1#marcus hicks#submission (armbar)#amma 1: first blood#1#1:29#edmonton , alberta , canada
win#13 - 6 - 1#lodune sincaid#tko (doctor stoppage)#pfc 12: high stakes#2#1:15#lemoore , california , united states
win#12 - 6 - 1#jaime fletcher#decision (unanimous)#shoxc#3#5:00#friant , california , united states
win#11 - 6 - 1#ryan robinson#submission (armbar)#cage rage 21#1#1:15#london , england
loss#10 - 6 - 1#maurício rua#tko (stomps)#pride final conflict absolute#1#5:29#saitama , japan
win#10 - 5 - 1#yasuhito namekawa#ko (flying knee)#real rhythm : 4th stage#2#1:50#osaka , japan
win#9 - 5 - 1#yasuhito namekawa#ko (punches)#deep : 24 impact#2#2:22#tokyo , japan
win#8 - 5 - 1#takahiro oba#submission (rear naked choke)#real rhythm : 3rd stage#2#3:47#osaka , japan
win#7 - 5 - 1#mu jin - na#ko (head kick & punches)#real rhythm : 2nd stage#1#1:28#osaka , japan
loss#6 - 5 - 1#fábio piamonte#submission (arm triangle choke)#cage rage 12#1#2:09#london , england
loss#6 - 4 - 1#renato sobral#submission (guillotine choke)#cage rage 9#1#3:38#london , england
loss#6 - 3 - 1#arman gambaryan#decision (unanimous)#m - 1 mfc : middleweight gp#3#5:00#st petersburg , russia
loss#6 - 2 - 1#rodney glunder#decision (unanimous)#2 hot 2 handle#2#3:00#amsterdam , netherlands
win#6 - 1 - 1#james žikic#decision (unanimous)#ef 1: genesis#3#5:00#london , england
win#5 - 1 - 1#dave vader#submission (triangle choke)#2h2h 6: simply the best 6#1#3:40#rotterdam , netherlands
win#4 - 1 - 1#bob schrijber#decision#2h2h 5: simply the best 5#2#3:00#rotterdam , netherlands
win#3 - 1 - 1#matt frye#ko (punches)#cage wars 2#1#n / a#london , england
loss#2 - 1 - 1#josh dempsey#decision#cage wars 1#2#n / a#portsmouth , england
draw#2 - 0 - 1#rodney glunder#draw#rings holland : no guts , no glory#2#5:00#amsterdam , netherlands
win#2 - 0#andre juskevicius#ko (punches)#golden trophy 2000#1#0:49#orléans , france
win#1 - 0#ryuta sakurai#tko (punches)#golden trophy 1999#2#n / a#france
