season#games#won#lost#tied#points#goals for#goals against#standing
1929 - 30#42#24#9#9#57#125#78#1st , ihl
1930 - 31#48#24#18#6#54#131#112#3rd , ihl
1931 - 32#48#15#25#8#38#110#142#7th , ihl
1932 - 33#42#10#27#5#25#100#147#6th , ihl
1933 - 34#44#16#24#4#36#104#121#6th , ihl
1934 - 35#44#20#23#1#40#115#132#4th , ihl
1935 - 36#48#25#19#4#54#149#146#2nd , west
1936 - 37#48#13#27#8#34#113#152#3rd , west
1937 - 38#48#25#12#11#61#126#114#1st , west
1938 - 39#54#23#22#9#55#145#138#3rd , west
1939 - 40#56#24#24#8#56#127#130#4th , west
1940 - 41#56#26#21#9#61#177#162#1st , west
1941 - 42#56#33#19#4#70#174#152#3rd , west
1942 - 43#56#21#29#6#48#190#196#4th , west
1943 - 44#54#33#14#7#73#224#176#1st , west
1944 - 45#60#34#10#16#78#256#199#1st , west
1945 - 46#62#28#26#8#64#269#254#3rd , west
1946 - 47#64#38#18#8#84#272#215#1st , west
1947 - 48#68#43#13#12#98#332#197#1st , west
1948 - 49#68#41#21#6#88#286#251#3rd , west
1949 - 50#70#45#15#10#100#357#230#1st , west
1950 - 51#71#44#22#5#93#281#221#1st , west
1951 - 52#68#44#19#5#93#265#166#2nd , west
1952 - 53#64#42#20#2#86#248#164#1st , ahl
1953 - 54#70#38#32#0#76#269#227#3rd , ahl
1954 - 55#64#32#29#3#67#254#222#2nd , ahl
1955 - 56#64#26#31#7#59#225#231#4th , ahl
1956 - 57#64#35#26#3#73#249#210#2nd , ahl
1957 - 58#70#39#28#3#81#232#163#2nd , ahl
1958 - 59#70#37#30#3#77#261#252#2nd , ahl
1959 - 60#72#34#30#8#76#267#229#4th , ahl
1960 - 61#72#36#35#1#73#231#234#3rd , ahl
1961 - 62#70#39#28#3#81#255#203#1st , west
1962 - 63#72#31#34#7#69#270#253#2nd , west
1963 - 64#72#37#30#5#79#239#207#3rd , west
1964 - 65#72#24#43#5#53#228#285#4th , west
1965 - 66#72#38#32#2#78#243#217#2nd , west
1966 - 67#72#36#27#9#81#284#230#3rd , west
1967 - 68#72#28#30#14#70#236#255#4th , west
1968 - 69#74#30#32#12#72#213#245#2nd , west
1969 - 70#72#23#33#16#62#222#255#4th , west
1970 - 71#72#39#26#7#85#272#208#2nd , west
1971 - 72#76#32#34#10#74#269#263#4th , west
1972 - 73#76#23#44#9#55#251#329#5th , west
