date#opponent#score#loss#save
september 1#phillies#13 - 9#mesa (5 - 7)#||61068||79 - 58
september 2#white sox#2 - 1#colón (12 - 12)#kim (12)
september 3#white sox#5 - 4 10#gordon (6 - 6)#||20082||81 - 58
september 5#yankees#9 - 3#pettitte (17 - 8)#||55261||82 - 58
september 6#yankees#12 - 0#clemens (13 - 9)#||55237||83 - 58
september 7#yankees#3 - 1#suppan (11 - 9)#rivera (33)
september 8#orioles#13 - 10#kim (8 - 10)#||23276||83 - 60
september 9#orioles#9 - 2#moss (10 - 11)#||25265||84 - 60
september 10#orioles#5 - 0#johnson (10 - 7)#||25143||85 - 60
september 12#white sox#7 - 4#wright (1 - 6)#kim (13)
september 13#white sox#3 - 1#wakefield (10 - 7)#||34414||86 - 61
september 14#white sox#7 - 2#burkett (10 - 8)#marte (11)
september 15#devil rays#8 - 2#sosa (5 - 11)#||33389||87 - 62
september 16#devil rays#3 - 2#harper (4 - 8)#||33618||88 - 62
september 17#devil rays#7 - 0#suppan (12 - 10)#||33806||88 - 63
september 18#devil rays#4 - 3#bell (4 - 4)#kim (14)
september 19#indians#2 - 0#stanford (0 - 3)#embree (1)
september 20#indians#13 - 4#lowe (16 - 7)#||23242||90 - 64
september 21#indians#2 - 0#cliff lee (3 - 2)#kim (15)
september 22#orioles#7 - 5#johnson (10 - 9)#kim (16)
september 23#orioles#6 - 5 10#ainsworth (5 - 5)#||33723||93 - 64
september 24#orioles#7 - 3#burkett (11 - 9)#||34607||93 - 65
september 25#orioles#14 - 3#daal (4 - 11)#||34526||94 - 65
september 26#devil rays#7 - 2#gonzález (6 - 11)#||21240||95 - 65
september 27#devil rays#5 - 4#suppan (13 - 11)#carter (25)
september 28#devil rays#3 - 1#lyon (4 - 6)#carter (26)
