rider#manufacturer#laps#time / retired#grid
valentino rossi#yamaha#26#42:37.149#11
casey stoner#ducati#26#+ 1.909#2
nicky hayden#honda#26#+ 6.077#13
dani pedrosa#honda#26#+ 10.465#9
john hopkins#suzuki#26#+ 13.138#5
colin edwards#yamaha#26#+ 15.139#6
alex barros#ducati#26#+ 36.075#12
alex hofmann#ducati#26#+ 41.768#8
anthony west#kawasaki#26#+ 43.605#7
marco melandri#honda#26#+ 43.796#4
carlos checa#honda#26#+ 43.826#16
shinya nakano#honda#26#+ 47.896#15
makoto tamada#yamaha#26#+ 54.068#18
sylvain guintoli#yamaha#26#+ 57.718#17
kurtis roberts#kr212v#26#+ 1:28.637#14
chris vermeulen#suzuki#26#+ 1:34.808#1
loris capirossi#ducati#17#retirement#10
randy de puniet#kawasaki#11#retirement#3
