team#driver#laps#time#grid
new zealand#jonny reid#14#19'25.408#1
germany#christian vietoris#14#+ 3.192#4
france#loïc duval#14#+ 4.899#3
south africa#adrian zaugg#14#+ 7.823#2
netherlands#jeroen bleekemolen#14#+ 9.581#5
ireland#adam carroll#14#+ 10.912#7
usa#jonathan summerton#14#+ 11.417#6
portugal#joão urbano#14#+ 13.315#14
australia#john martin#14#+ 15.580#15
india#narain karthikeyan#14#+ 22.968#20
pakistan#adam langley - khan#14#+ 25.773#22
italy#edoardo piscopo#14#+ 26.048#12
brazil#sérgio jimenez#14#+ 26.541#10
china#cong fu cheng#14#+ 26.773#16
lebanon#chris alajajian#14#+ 29.483#17
indonesia#satrio hermanto#14#+ 31.107#21
mexico#david garza perez#14#+ 31.349#18
canada#robert wickens#11#spun off#8
czech republic#tomas enge#10#collision#19
great britain#robbie kerr#9#damage#13
malaysia#alex yoong#0#collision#9
switzerland#neel jani#0#collision#11
