date#tournament#surface#partner#opponent in the final#score
2 october 2006#traralgon , f10#hard#matthew ebden#james cerretani phil stolt#6 - 3 , 6 - 3
30 july 2007#ilkley , f13#grass#ian flanagan#daniel king - turner fabrice martin#6 - 3 , 6 - 1
22 october 2007#traralgon , f8#hard#matthew ebden#andrew coelho greg jones#7 - 6 (6) , 6 - 1
25 february 2008#wellington , f1#hard#andrew coelho#isaac frost leon frost#6 - 1 , 6 - 3
9 june 2008#minsk , f1#hard#matthew ebden#deniss pavlovs dekel valtzer#6 - 3 , 6 - 2
7 july 2008#felixstowe , f9#clay#matthew ebden#sadik kadir shane la porte#6 - 4 , 7 - 6 (5)
9 february 2009#mildura , f1#grass#matthew ebden#kaden hensel adam hubble#7 - 5 , 7 - 6 (7)
23 november 2009#kalgoorlie , f10#hard#robert smeets#dane propoggia matt reid#6 - 3 , 7 - 6 (5)
29 march 2010#mobile , al , f8#hard#john millman#kaden hensel jose rubin statham#4 - 6 , 6 - 4 ,
26 april 2010#ipswich , f3#clay#dane propoggia#marcus daniell logan mackenzie#6 - 2 , 6 - 3
3 may 2010#bundaberg , f4#clay#dane propoggia#michael look logan mackenzie#6 - 1 , 6 - 0
8 november 2010#esperance , f11#hard#nima roshan#colin ebelthite adam feeney#6 - 3 , 6 - 4
15 november 2010#wellington , f1#hard#dane propoggia#nima roshan jose rubin statham#4 - 6 , 6 - 1 ,
18 april 2011#antalya , f14#hard#tuna altuna#alexander bury vladyslav klymenko#6 - 4 , 6 - 3
25 april 2011#antalya , f15#hard#tuna altuna#andrei ciumac dmitri sitak#6 - 4 , 6 - 3
4 july 2011#römerberg , f8#clay#juan - pablo amado#roman jebavý andrei mlendea#6 - 4 , 6 - 1
1 august 2011#izmir , f22#clay#dane propoggia#andrei ciumac paris gemouchidis#3 - 6 , 6 - 3 ,
8 august 2011#istanbul , f23#hard#dane propoggia#riccardo ghedin n vijay sundar prashanth#6 - 3 , 7 - 6 (3)
5 september 2011#alice springs , f5#hard#james lemke#peng gao wan gao#6 - 1 , 6 - 1
12 september 2011#cairns , f6#hard#james lemke#jae - sung an elbert sie#w / o
3 october 2011#esperance , f8#hard#jose rubin statham#peng gao wan gao#7 - 5 , 6 - 3
13 february 2012#toowoomba , f1#hard#dane propoggia#luke saville andrew whittington#7 - 6 (4) , 6 - 2
23 april 2012#antalya , f16#hard#tuna altuna#adam chadaj vladimir uzhylovsky#6 - 2 , 6 - 4
30 april 2012#antalya , f17#hard#tuna altuna#vadim alekseenko sergei krotiouk#6 - 1 , 6 - 3
7 may 2012#antalya , f18#hard#tuna altuna#ilya belyaev baris erguden#6 - 0 , 6 - 3
2 july 2012#bakio , f19#hard#fabrice martin#juan - samuel arauzo - martinez inigo santos - fernandez#7 - 5 , 6 - 1
3 september 2012#antalya , f34#hard#tuna altuna#marco danis george morgan#6 - 3 , 6 - 4
24 september 2012#antalya , f37#hard#dane propoggia#matteo donati francesco picco#6 - 1 , 6 - 2
1 october 2012#antalya , f38#hard#maxim dubarenco#edoardo eramin artem sitak#6 - 4 , 3 - 6 ,
5 november 2012#phuket , f5#hard#dane propoggia#antoine escoffier alexander ward#6 - 3 , 6 - 2
3 december 2012#jakarta , f4#hard#dane propoggia#ketut - nesa arta hendri susilo pramono#6 - 4 , 6 - 2
29 july 2013#istanbul , f30#hard#dane propoggia#tuna altuna baris erguden#6 - 1 , 6 - 4
5 august 2013#izmir , f31#hard#dane propoggia#dorian descloix jaime pulgar - garcia#5 - 7 , 7 - 5 ,
