name#height#weight (lbs)#position#class#hometown
denis clemente 1#6'#180#g#jr#bayamón , puerto rico
jacob pullen#6'1#185#g#fr#maywood , il , us
fred brown#6'3#185#g#fr#west palm beach , fl , us
blake young#6'2#195#g#sr#orlando , fl , us
andre gilbert#6'7#205#f#jr#brooklyn park , mn , us
clent stewart#6'4#195#g#sr#tulsa , ok , us
bill walker 2#6'6#220#f#fr#huntington , wv , us
david hoskins 3#6'5#230#f#sr#canton , mi , us
jamar samuels 4#6'8#200#f#fr#washington , dc , us
dominique sutton 4#6'5#205#g#fr#durham , nc , us
michael beasley#6'10#235#f#fr#frederick , md , us
chris merriewether#6'4#195#g#so#jacksonville , fl , us
ron anderson#6'8#245#f#fr#upper marlboro , md , us
darren kent#6'10#210#f#jr#apple valley , mn , us
luis colon#6'10#275#c#so#bayamón , puerto rico
james franklin#6'#190#g#sr#kansas city , ks , us
