season#team 1#score#team 2#venue
2002 - 03#bec tero sasana#2 - 2#kashima antlers#suphachalasai stadium , thailand
2002 - 03#bec tero sasana#2 - 0#daejeon citizen#suphachalasai stadium , thailand
2002 - 03#bec tero sasana#2 - 1#shanghai shenhua#suphachalasai stadium , thailand
2002 - 03#bec tero sasana#3 - 1#fc pakhtakor tashkent#suphachalasai stadium , thailand
2002 - 03#fc pakhtakor tashkent#1 - 0#bec tero sasana#pakhtakor stadium , uzbekistan
2002 - 03#al - ain#2 - 0#bec tero sasana#tahnoun bin mohamed stadium , uae
2002 - 03#bec tero sasana#1 - 0#al - ain#rajamangala stadium , thailand
2004#jeonbuk hyundai motors#4 - 0#bec tero sasana#jeonju world cup stadium , south korea
2004#jubilo iwata#3 - 0#bec tero sasana#yamaha stadium , japan
2004#bec tero sasana#4 - 1#shanghai shenhua#thai - japanese stadium , thailand
2004#bec tero sasana#0 - 4#jeonbuk hyundai motors#suphachalasai stadium , thailand
2004#shanghai shenhua#1 - 0#bec tero sasana#shanghai stadium , china pr
2004#bec tero sasana#2 - 3#jubilo iwata#thai - japanese stadium , thailand
2005#bec tero sasana#0 - 1#shandong luneng#n / a
2005#bec tero sasana#1 - 2#yokohama f marinos#n / a
2005#bec tero sasana#0 - 1#psm makassar#n / a
2005#bec tero sasana#0 - 4#shandong luneng#n / a
2005#bec tero sasana#0 - 2#yokohama f marinos#n / a
2005#bec tero sasana#2 - 2#psm makassar#n / a
