place#player#country#score#to par
t1#terry diehl#united states#69#- 1
t1#rod funseth#united states#69#- 1
t1#hubert green#united states#69#- 1
t1#grier jones#united states#69#- 1
t1#florentino molina#argentina#69#- 1
t1#larry nelson#united states#69#- 1
t1#tom purtzer#united states#69#- 1
t8#sam adams#united states#70#e
t8#george burns#united states#70#e
t8#al geiberger#united states#70#e
t8#morris hatalsky#united states#70#e
t8#joe inman#united states#70#e
t8#steve melnyk#united states#70#e
t8#mike morley#united states#70#e
t8#don padgett#united states#70#e
t8#arnold palmer#united states#70#e
t8#bob e smith#united states#70#e
