date#tournament#location#opponent team#score
23 july 2008#friendly#cremona , italy#cremonese#0 - 0
29 july 2008#2008 tim trophy#turin , italy#juventus#2 - 2 (6 - 4 p )
29 july 2008#2008 tim trophy#turin , italy#internazionale#0 - 0 (4 - 3 p )
1 august 2008#2008 russian railways cup#moscow , russia#sevilla#0 - 1
3 august 2008#2008 russian railways cup#moscow , russia#chelsea#0 - 5
9 august 2008#friendly#manchester , england#manchester city#0 - 1
17 august 2008#2008 trofeo luigi berlusconi#milan , italy#juventus#4 - 1
21 august 2008#2008 trofeo birra moretti#naples , italy#napoli#1 - 0
21 august 2008#2008 trofeo birra moretti#naples , italy#juventus#0 - 0 (4 - 5 p )
24 august 2008#2008 trofeo villa de gijón#gijon , spain#sporting de gijón#0 - 2
10 september 2008#friendly#lugano , switzerland#lugano#0 - 2
14 october 2008#friendly#tirana , albania#tirana#1 - 2
7 january 2009#dubai challenge cup#dubai , united arab emirates#hamburger#1 - 1 (4 - 3 p )
21 january 2009#friendly#hannover , germany#hannover#3 - 2
4 february 2009#friendly#glasgow , scotland#rangers#2 - 2
22 april 2009#friendly#budapest , hungary#hungary 's league selection#5 - 2
