position#club#played#points#wins#draws#losses#goals for#goals against#goal difference
1#real gijón cf#38#62#28#6#4#107#26#+ 81
2#cd sabadell cf#38#54#24#6#8#92#39#+ 53
3#sd indauchu#38#48#21#6#11#72#45#+ 27
4#real oviedo#38#46#20#6#12#77#60#+ 17
5#deportivo alavés#38#43#17#9#12#61#52#+ 9
6#cultural leonesa#38#41#18#5#15#63#61#+ 2
7#real avilés cf#38#39#17#5#16#75#60#+ 15
8#real santander#38#37#15#7#16#60#62#- 2
9#gerona cf#38#37#15#7#16#54#53#+ 1
10#sd eibar#38#36#14#8#16#63#79#- 16
11#caudal deportivo#38#35#16#3#19#66#72#- 6
12#ad rayo vallecano#38#35#15#5#18#45#45#0
13#cd tarrasa#38#34#13#8#17#57#60#- 3
14#club sestao#38#34#13#8#17#60#67#- 7
15#cp la felguera#38#34#15#4#19#46#62#- 16
16#club ferrol#38#33#14#5#19#51#72#- 21
17#cd logroñés#38#32#12#8#18#44#70#- 26
18#baracaldo ah#38#31#12#7#19#50#83#- 33
19#burgos cf#38#30#11#8#19#46#65#- 19
20#ud lérida#38#19#8#3#27#37#93#- 56
