position#club#played#points#wins#draws#losses#goals for#goals against#goal difference
1#real santander#30#42#17#8#5#63#28#+ 35
2#rc celta de vigo#30#40#18#4#8#63#37#+ 26
3#cd orense#30#37#15#7#8#56#41#+ 15
4#deportivo la coruña#30#35#16#3#11#56#47#+ 9
5#real gijón#30#32#14#4#12#56#44#+ 12
6#cd tarrasa#30#31#12#7#11#47#44#+ 3
7#cd sabadell cf#30#31#13#5#12#52#41#+ 11
8#sd indautxu#30#29#13#3#14#56#54#+ 2
9#baracaldo ah#30#29#11#7#12#53#51#+ 2
10#cd condal#30#29#11#7#12#46#45#+ 1
11#cd basconia#30#27#11#5#14#41#57#- 16
12#cultural leonesa#30#27#10#7#13#47#61#- 14
13#deportivo alavés#30#24#8#8#14#44#70#- 26
14#club sestao#30#24#9#6#15#30#47#- 17
15#real avilés cf#30#22#6#10#14#38#52#- 14
16#club ferrol#30#21#9#3#18#50#79#- 29
