res#record#opponent#method#event#round#time#location
win#30 - 13#silmar nunes#decision (unanimous)#iron fight combat 4#3#5:00#parana , brazil
win#29 - 13#guilherme gomes#decision (unanimous)#shooto - brasil 33: bope ii#3#5:00#rio de janeiro , brazil
win#28 - 13#patrick vallée#decision (unanimous)#100% fight 11: explosion#3#5:00#paris , france
loss#27 - 13#pete spratt#decision (unanimous)#amazon forest combat 2#3#5:00#manaus , brazil
win#27 - 12#arimarcel santos#ko (punches)#iron man championship 13#1#2:45#belém , brazil
win#26 - 12#jose gomes de ribamar#tko (punches)#kumite mma combate#2#2:57#porto alegre , brazil
win#25 - 12#luis melo#ko (punches)#amazon forest combat 1#1#2:50#manaus , brazil
loss#24 - 12#hernani perpetuo#decision (split)#clube da luta#3#3:00#rio de janeiro , brazil
win#24 - 11#felipe arinelli#ko (punches)#fatality arena 3#1#2:58#niteroi , rio de janeiro , brazil
win#23 - 11#diego gonzalez#decision (unanimous)#superior challenge 7#3#5:00#stockholm , sweden
loss#22 - 11#bruno santos#decision (unanimous)#wfe 8: platinum#5#5:00#brazil
win#22 - 10#david bielkheden#dq (overturned by smmaf)#superior challenge 6#3#5:00#stockholm , sweden
loss#21 - 10#paul daley#submission (elbow)#impact fc 2#3#1:15#sydney , australia
win#21 - 9#cassiano ricardo castanho de freitas#decision (unanimous)#platinum fight brazil 3#3#5:00#sao paulo , brazil
loss#20 - 9#ivan jorge#decision (unanimous)#floripa fight 6#3#5:00#santa catarina , brazil
win#20 - 8#bobby rehman#decision (unanimous)#sc 4: bad intentions#3#5:00#stockholm , sweden
win#19 - 8#pedro irie#tko (punches)#first class fight 3#2#4:11#sao paulo , brazil
win#18 - 8#jae young kim#decision (majority)#m - 1 challenge 17 - korea#2#5:00#seoul , south korea
loss#17 - 8#mamed khalidov#ko (punches)#ksw xi#1#1:10#warsaw , poland
win#17 - 7#cassio drummond#tko (doctor stoppage)#the warriors#2#n / a#rio de janerio , brazil
loss#16 - 7#eduardo pamplona#decision (split)#santos fight festival#3#5:00#sao paulo , brazil
win#16 - 6#andrew tigrao#decision (unanimous)#mr cage 1#3#5:00#amazonas , brazil
win#15 - 6#eder jones#submission (punches)#win fight & entertainment 2#3#3:15#bahia , brazil
win#14 - 6#tor troeng#decision#fight festival 23#3#5:00#helsinki , finland
loss#13 - 6#rousimar palhares#submission (heel hook)#fury fc 5 - final conflict#1#1:22#sao paulo , brazil
win#13 - 5#andre mikito#submission (slam)#fury fc 5 - final conflict#2#3:40#sao paulo , brazil
win#12 - 5#gil de freitas#decision (unanimous)#fury fc 4: high voltage#3#5:00#teresopolis , brazil
win#11 - 5#michele verginelli#decision (unanimous)#fury fc 3: reloaded#3#5:00#sao paulo , brazil
loss#10 - 5#luis santos#decision (unanimous)#roraima combat 3#3#5:00#brazil
loss#10 - 4#delson heleno#decision (unanimous)#fury fc 2: final combat#3#5:00#sao paulo , brazil
loss#10 - 3#ryo kawamura#ko (punch)#pancrase - blow 7#2#2:40#tokyo , japan
loss#10 - 2#akihiro gono#decision (unanimous)#pride bushido 9#2#5:00#tokyo , japan
win#10 - 1#kazuo misaki#decision (unanimous)#pride bushido 8#2#5:00#nagoya , japan
win#9 - 1#daiju takase#tko (soccer kicks)#pride bushido 6#2#3:34#yokohama , japan
win#8 - 1#danilo pereira#decision (unanimous)#storm samurai 5#3#5:00#curitiba , brazil
win#7 - 1#eric tavares#ko (soccer kicks)#meca world vale tudo 11#1#2:48#curitiba , brazil
win#6 - 1#buck greer#ko (punch)#jungle fight 2#1#n / a#manaus , brazil
win#5 - 1#roberto godoi#tko (punches)#meca world vale tudo 10#1#8:39#curitiba , brazil
win#4 - 1#delson heleno#tko (corner stoppage)#meca world vale tudo 9#2#5:00#curitiba , brazil
win#3 - 1#guilherme lima#tko (punches)#meca world vale tudo 8#1#3:50#curitiba , brazil
win#2 - 1#jose carlos oliveira#submission (rear naked choke)#meca world vale tudo 6#1#1:44#curitiba , brazil
win#1 - 1#silvio de souza#submission (keylock)#meca world vale tudo 4#1#8:07#curitiba , brazil
loss#0 - 1#nilson de castro#submission (triangle choke)#meca world vale tudo 1#1#7:11#tokyo , brazil
