restaurant name#original name#location#chef#designer#still open
aggie martin#n / a#brampton , on#david adjey#glen peloso#no
bagel world#n / a#toronto , on#corbin tomaszeski#robin fraser#yes
nook#bakerberry caffe#toronto , on#corbin tomaszeski#jonathan furlong#yes
cork & cabbage#bistro aubergine#toronto , on#lynn crawford#cherie stinson#no
bulldog cafe#n / a#toronto , on#massimo capra#meredith heron#yes
calypso hut#n / a#n / a#massimo capra#robin fraser#no
dhaba indian excellence#n / a#toronto , on#susur lee#brenda bent#yes
konrad lounge#di and gabby 's#etobicoke , toronto , on#massimo capra#tracy kundell#yes
dooney 's#n / a#toronto , on#corbin tomaszeski#jonathan furlong#no
the citizen#essence#toronto , on#lynn crawford#brenda bent#yes
golden flame restaurant#n / a#richmond hill , on#massimo capra#meredith heron#no
hamar weyne#n / a#toronto , on#corbin tomaszeski#tracy kundell#yes
hollingers#n / a#toronto , on#lynn crawford#cherie stinson#no
hollywood panini#n / a#richmond hill , on#massimo capra#glen peloso#no
il papagallo#n / a#oakville , on#corbin tomaszeski#tracy kundell#no
jonathan 's#n / a#woodbridge , on#david adjey#glen peloso#yes
kensington 's#n / a#toronto , on#brad long#glen peloso#yes
la cabana#n / a#n / a#david adjey#glen peloso#no
massimo 's#n / a#toronto , on#massimo capra#brenda bent#yes
the olive branch#mighty mike 's#toronto , on#lynn crawford#jonathan furlong#yes
rifca 's mediterranean kitchen#pita stop#richmond hill , on#brad long#glen peloso#yes
roma ristorante#n / a#toronto , on#david adjey#cheryl torrenueva#yes
flame bar & grill#seashell seafood#n / a#david adjey#cheryl torrenueva#no
the central#n / a#n / a#corbin tomaszeski#brenda bent#yes
the richmond rogue#n / a#toronto , on#lynn crawford#meredith heron#yes
waterfall martini lounge#n / a#n / a#david adjey#jonathan furlong#no
